,X,X,X,X,X,X,X,X,X,X,,Y,Y,Y,Y,Y,Y,Y
,bedtemp,exttemp,layerthickness,infillspeed,density,thermalresistance,impactstrength,glasstransitiontemp,thermalconductivity,linearthermalexpansioncoefficient,,weight,width1,width2,width3,height,depth,strength
ABS-10-2,80,245,0.1,70,1.1,87,14,60,0.1,1.20E-04,,1.12,9.97,3.59,9.89,63.67,3.2,0.967
ABS-10-3,80,245,0.1,70,1.1,87,14,60,0.1,1.20E-04,,1.14,9.89,3.59,9.99,63.8,3.3,0.823
ABS-11-1,80,245,0.2,50,1.1,87,14,60,0.1,1.20E-04,,1.43,10.32,3.96,10.18,64.12,3.45,1.117
ABS-11-2,80,245,0.2,50,1.1,87,14,60,0.1,1.20E-04,,1.41,10.3,3.96,10.3,64.39,3.17,1.163
ABS-11-3,80,245,0.2,50,1.1,87,14,60,0.1,1.20E-04,,1.37,10.24,3.99,10.24,64.14,3.25,1.153
ABS-12-1,80,245,0.2,70,1.1,87,14,60,0.1,1.20E-04,,1.34,10.3,3.86,10.13,63.91,3.28,1.06
ABS-12-2,80,245,0.2,70,1.1,87,14,60,0.1,1.20E-04,,1.36,10.13,3.82,10.13,63.93,3.27,1.073
ABS-12-3,80,245,0.2,70,1.1,87,14,60,0.1,1.20E-04,,1.34,10.12,3.81,10.1,63.89,3.41,1.277
ABS-13-1,80,255,0.1,50,1.1,87,14,60,0.1,1.20E-04,,1.13,10.14,3.77,10.15,63.89,3.18,0.857
ABS-13-2,80,255,0.1,50,1.1,87,14,60,0.1,1.20E-04,,1.11,10.07,3.8,10.07,63.9,3.04,0.75
ABS-13-3,80,255,0.1,50,1.1,87,14,60,0.1,1.20E-04,,1.14,10.29,3.99,10.26,64.17,3.29,0.893
ABS-14-1,80,255,0.1,70,1.1,87,14,60,0.1,1.20E-04,,1.09,9.91,3.64,9.89,63.68,3.18,0.787
ABS-14-2,80,255,0.1,70,1.1,87,14,60,0.1,1.20E-04,,1.09,9.89,3.58,9.86,63.67,3.16,0.81
ABS-14-3,80,255,0.1,70,1.1,87,14,60,0.1,1.20E-04,,1.09,9.9,3.59,9.93,63.63,3.18,0.787
ABS-15-1,80,255,0.2,50,1.1,87,14,60,0.1,1.20E-04,,1.34,10.26,3.92,10.15,63.95,3.01,0.97
ABS-15-2,80,255,0.2,50,1.1,87,14,60,0.1,1.20E-04,,1.35,10.35,3.98,10.17,64.2,3.1,1.013
ABS-15-3,80,255,0.2,50,1.1,87,14,60,0.1,1.20E-04,,1.37,10.46,4.08,10.21,64.35,3.13,1.163
ABS-16-1,80,255,0.2,70,1.1,87,14,60,0.1,1.20E-04,,1.36,10.26,3.85,10.29,64.08,3.25,1.093
ABS-16-2,80,255,0.2,70,1.1,87,14,60,0.1,1.20E-04,,1.08,10.03,3.74,9.94,63.69,3.27,0.893
ABS-16-3,80,255,0.2,70,1.1,87,14,60,0.1,1.20E-04,,1.25,10.09,3.71,9.98,63.76,3.02,0.917
