일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,10.0,0.000,0.070,0.333,0.00
3,0.012,11.0,0.090,0.090,0.367,0.18
4,0.028,11.0,0.100,0.100,0.367,0.20
5,0.044,12.0,0.120,0.120,0.400,0.24
6,0.059,13.0,0.130,0.130,0.433,0.26
7,0.076,13.0,0.150,0.150,0.433,0.30
8,0.092,14.0,0.160,0.160,0.467,0.32
9,0.108,14.0,0.180,0.180,0.467,0.36
10,0.124,15.0,0.190,0.190,0.500,0.38
11,0.140,15.0,0.210,0.210,0.500,0.42
12,0.155,16.0,0.220,0.220,0.533,0.44
13,0.172,16.0,0.230,0.230,0.533,0.46
14,0.188,16.0,0.250,0.250,0.533,0.50
15,0.204,17.0,0.260,0.260,0.567,0.52
16,0.220,17.0,0.280,0.280,0.567,0.56
17,0.235,17.0,0.290,0.290,0.567,0.58
18,0.252,17.0,0.310,0.310,0.567,0.62
19,0.267,18.0,0.320,0.320,0.600,0.64
20,0.284,18.0,0.340,0.340,0.600,0.68
21,0.300,18.0,0.350,0.350,0.600,0.70
22,0.316,18.0,0.370,0.370,0.600,0.74
23,0.332,19.0,0.380,0.380,0.633,0.76
24,0.348,19.0,0.400,0.400,0.633,0.80
25,0.364,20.0,0.410,0.410,0.667,0.82
26,0.379,20.0,0.430,0.430,0.667,0.86
27,0.395,21.0,0.440,0.440,0.700,0.88
28,0.412,21.0,0.450,0.450,0.700,0.90
29,0.428,22.0,0.470,0.470,0.733,0.94
30,0.443,22.0,0.480,0.480,0.733,0.96
31,0.459,23.0,0.500,0.500,0.767,1.00
32,0.476,23.0,0.510,0.510,0.767,1.02
33,0.492,24.0,0.530,0.530,0.800,1.06
34,0.508,24.0,0.540,0.540,0.800,1.08
35,0.523,24.0,0.560,0.560,0.800,1.12
36,0.540,23.0,0.570,0.570,0.767,1.14
37,0.556,21.0,0.590,0.590,0.700,1.18
38,0.572,21.0,0.600,0.600,0.700,1.20
39,0.588,20.0,0.620,0.620,0.667,1.24
40,0.604,20.0,0.630,0.630,0.667,1.26
41,0.620,20.0,0.650,0.650,0.667,1.30
42,0.636,20.0,0.660,0.660,0.667,1.32
43,0.652,20.0,0.670,0.670,0.667,1.34
44,0.668,20.0,0.690,0.690,0.667,1.38
45,0.684,20.0,0.700,0.700,0.667,1.40
46,0.699,20.0,0.720,0.720,0.667,1.44
47,0.716,21.0,0.730,0.730,0.700,1.46
48,0.731,21.0,0.750,0.750,0.700,1.50
49,0.748,22.0,0.760,0.760,0.733,1.52
50,0.764,23.0,0.780,0.780,0.767,1.56
51,0.780,23.0,0.790,0.790,0.767,1.58
52,0.795,24.0,0.810,0.810,0.800,1.62
53,0.813,25.0,0.820,0.820,0.833,1.64
54,0.828,25.0,0.840,0.840,0.833,1.68
55,0.844,26.0,0.850,0.850,0.867,1.70
56,0.860,27.0,0.860,0.860,0.900,1.72
57,0.876,27.0,0.880,0.880,0.900,1.76
58,0.892,28.0,0.890,0.890,0.933,1.78
59,0.908,28.0,0.910,0.910,0.933,1.82
60,0.924,29.0,0.920,0.920,0.967,1.84
61,0.940,29.0,0.940,0.940,0.967,1.88
62,0.955,30.0,0.950,0.950,1.000,1.90
63,0.972,31.0,0.970,0.970,1.033,1.94
64,0.988,31.0,0.980,0.980,1.033,1.96
65,1.004,32.0,1.000,1.000,1.067,2.00
66,1.019,32.0,1.010,1.010,1.067,2.02
67,1.036,33.0,1.030,1.030,1.100,2.06
68,1.052,33.0,1.040,1.040,1.100,2.08
69,1.067,34.0,1.050,1.050,1.133,2.10
70,1.085,34.0,1.070,1.070,1.133,2.14
71,1.100,35.0,1.080,1.080,1.167,2.16
72,1.116,35.0,1.100,1.100,1.167,2.20
73,1.132,35.0,1.110,1.110,1.167,2.22
74,1.148,36.0,1.130,1.130,1.200,2.26
75,1.163,36.0,1.140,1.140,1.200,2.28
76,1.180,36.0,1.160,1.160,1.200,2.32
77,1.196,36.0,1.170,1.170,1.200,2.34
78,1.212,36.0,1.190,1.190,1.200,2.38
79,1.228,36.0,1.200,1.200,1.200,2.40
80,1.244,36.0,1.220,1.220,1.200,2.44
81,1.260,36.0,1.230,1.230,1.200,2.46
82,1.276,36.0,1.240,1.240,1.200,2.48
83,1.292,36.0,1.260,1.260,1.200,2.52
84,1.308,36.0,1.270,1.270,1.200,2.54
85,1.324,36.0,1.290,1.290,1.200,2.58
86,1.340,35.0,1.300,1.300,1.167,2.60
87,1.356,35.0,1.320,1.320,1.167,2.64
88,1.372,35.0,1.330,1.330,1.167,2.66
89,1.388,34.0,1.350,1.350,1.133,2.70
90,1.404,34.0,1.360,1.360,1.133,2.72
91,1.420,34.0,1.380,1.380,1.133,2.76
92,1.436,34.0,1.390,1.390,1.133,2.78
93,1.452,34.0,1.400,1.400,1.133,2.80
94,1.468,33.0,1.420,1.420,1.100,2.84
95,1.484,33.0,1.430,1.430,1.100,2.86
96,1.500,33.0,1.450,1.450,1.100,2.90
97,1.516,33.0,1.460,1.460,1.100,2.92
98,1.532,33.0,1.480,1.480,1.100,2.96
99,1.548,33.0,1.490,1.490,1.100,2.98
100,1.564,33.0,1.510,1.510,1.100,3.02
101,1.580,33.0,1.520,1.520,1.100,3.04
102,1.596,32.0,1.540,1.540,1.067,3.08
103,1.612,32.0,1.550,1.550,1.067,3.10
