일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,11.2,0.000,0.060,0.287,0.00
3,0.011,13.4,0.080,0.080,0.344,8.00
4,0.027,15.8,0.090,0.090,0.405,9.00
5,0.042,18.3,0.110,0.110,0.469,11.00
6,0.058,20.7,0.120,0.120,0.531,12.00
7,0.074,22.9,0.140,0.140,0.587,14.00
8,0.090,24.8,0.150,0.150,0.636,15.00
9,0.106,27.5,0.170,0.170,0.705,17.00
10,0.122,30.2,0.180,0.180,0.774,18.00
11,0.139,32.8,0.200,0.200,0.841,20.00
12,0.155,35.5,0.210,0.210,0.910,21.00
13,0.171,38.4,0.230,0.230,0.985,23.00
14,0.187,41.3,0.240,0.240,1.059,24.00
15,0.203,44.2,0.260,0.260,1.133,26.00
16,0.219,47.2,0.270,0.270,1.210,27.00
17,0.234,50.2,0.290,0.290,1.287,29.00
18,0.250,53.3,0.300,0.300,1.367,30.00
19,0.266,56.4,0.320,0.320,1.446,32.00
20,0.282,59.5,0.330,0.330,1.526,33.00
21,0.298,61.9,0.340,0.340,1.587,34.00
22,0.314,65.5,0.360,0.360,1.679,36.00
23,0.330,69.1,0.370,0.370,1.772,37.00
24,0.346,72.5,0.390,0.390,1.859,39.00
25,0.362,75.9,0.400,0.400,1.946,40.00
26,0.378,79.1,0.420,0.420,2.028,42.00
27,0.394,82.3,0.430,0.430,2.110,43.00
28,0.410,85.5,0.450,0.450,2.192,45.00
29,0.426,88.6,0.460,0.460,2.272,46.00
30,0.442,91.7,0.480,0.480,2.351,48.00
31,0.459,94.7,0.490,0.490,2.428,49.00
32,0.474,97.7,0.510,0.510,2.505,51.00
33,0.490,100.8,0.520,0.520,2.585,52.00
34,0.506,102.4,0.540,0.540,2.626,54.00
35,0.522,105.9,0.550,0.550,2.715,55.00
36,0.539,109.5,0.560,0.560,2.808,56.00
37,0.555,112.8,0.580,0.580,2.892,58.00
38,0.571,116.0,0.590,0.590,2.974,59.00
39,0.587,119.2,0.610,0.610,3.056,61.00
40,0.603,122.2,0.620,0.620,3.133,62.00
41,0.619,125.2,0.640,0.640,3.210,64.00
42,0.634,128.2,0.650,0.650,3.287,65.00
43,0.650,131.2,0.670,0.670,3.364,67.00
44,0.666,134.1,0.680,0.680,3.438,68.00
45,0.682,137.1,0.700,0.700,3.515,70.00
46,0.698,140.0,0.710,0.710,3.590,71.00
47,0.714,142.2,0.730,0.730,3.646,73.00
48,0.730,145.6,0.740,0.740,3.733,74.00
49,0.746,148.8,0.760,0.760,3.815,76.00
50,0.762,151.9,0.770,0.770,3.895,77.00
51,0.779,154.9,0.780,0.780,3.972,78.00
52,0.795,157.8,0.800,0.800,4.046,80.00
53,0.810,160.7,0.810,0.810,4.121,81.00
54,0.826,163.6,0.830,0.830,4.195,83.00
55,0.842,166.5,0.840,0.840,4.269,84.00
56,0.858,169.2,0.860,0.860,4.338,86.00
57,0.874,172.0,0.870,0.870,4.410,87.00
58,0.890,174.7,0.890,0.890,4.479,89.00
59,0.907,177.4,0.900,0.900,4.549,90.00
60,0.922,179.3,0.920,0.920,4.597,92.00
61,0.938,181.9,0.930,0.930,4.664,93.00
62,0.955,185.0,0.950,0.950,4.744,95.00
63,0.971,187.9,0.960,0.960,4.818,96.00
64,0.986,190.7,0.970,0.970,4.890,97.00
65,1.003,193.3,0.990,0.990,4.956,99.00
66,1.019,196.0,1.000,1.000,5.026,100.00
67,1.035,198.6,1.020,1.020,5.092,102.00
68,1.051,201.1,1.030,1.030,5.156,103.00
69,1.067,203.7,1.050,1.050,5.223,105.00
70,1.082,206.3,1.060,1.060,5.290,106.00
71,1.098,208.7,1.080,1.080,5.351,108.00
72,1.114,211.3,1.090,1.090,5.418,109.00
73,1.131,213.2,1.110,1.110,5.467,111.00
74,1.146,215.4,1.120,1.120,5.523,112.00
75,1.162,218.3,1.140,1.140,5.597,114.00
76,1.178,221.0,1.150,1.150,5.667,115.00
77,1.194,223.7,1.160,1.160,5.736,116.00
78,1.210,226.3,1.180,1.180,5.803,118.00
79,1.227,228.8,1.190,1.190,5.867,119.00
80,1.242,231.3,1.210,1.210,5.931,121.00
81,1.259,233.7,1.220,1.220,5.992,122.00
82,1.274,236.0,1.240,1.240,6.051,124.00
83,1.290,238.5,1.250,1.250,6.115,125.00
84,1.307,240.8,1.270,1.270,6.174,127.00
85,1.322,243.2,1.280,1.280,6.236,128.00
86,1.338,245.4,1.300,1.300,6.292,130.00
87,1.354,247.2,1.310,1.310,6.338,131.00
88,1.371,249.7,1.320,1.320,6.403,132.00
89,1.387,252.0,1.340,1.340,6.462,134.00
90,1.402,254.2,1.350,1.350,6.518,135.00
91,1.418,256.4,1.370,1.370,6.574,137.00
92,1.434,258.4,1.380,1.380,6.626,138.00
93,1.450,260.4,1.400,1.400,6.677,140.00
94,1.467,262.4,1.410,1.410,6.728,141.00
95,1.483,264.3,1.430,1.430,6.777,143.00
96,1.498,266.2,1.440,1.440,6.826,144.00
97,1.514,268.0,1.460,1.460,6.872,146.00
98,1.531,269.9,1.470,1.470,6.921,147.00
99,1.547,271.6,1.490,1.490,6.964,149.00
100,1.563,272.9,1.500,1.500,6.997,150.00
101,1.578,274.7,1.510,1.510,7.044,151.00
102,1.594,276.7,1.530,1.530,7.095,153.00
103,1.610,278.6,1.540,1.540,7.144,154.00
