일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,13.4,0.000,0.060,0.344,0.00
3,0.011,16.8,0.080,0.080,0.431,8.00
4,0.026,20.2,0.090,0.090,0.518,9.00
5,0.042,23.6,0.110,0.110,0.605,11.00
6,0.059,27.0,0.120,0.120,0.692,12.00
7,0.075,30.3,0.140,0.140,0.777,14.00
8,0.091,32.8,0.150,0.150,0.841,15.00
9,0.107,34.3,0.170,0.170,0.879,17.00
10,0.123,35.5,0.180,0.180,0.910,18.00
11,0.139,36.8,0.200,0.200,0.944,20.00
12,0.155,38.2,0.210,0.210,0.979,21.00
13,0.171,39.4,0.230,0.230,1.010,23.00
14,0.187,41.2,0.240,0.240,1.056,24.00
15,0.203,43.8,0.260,0.260,1.123,26.00
16,0.219,46.4,0.270,0.270,1.190,27.00
17,0.235,49.2,0.290,0.290,1.262,29.00
18,0.251,52.1,0.300,0.300,1.336,30.00
19,0.267,55.2,0.320,0.320,1.415,32.00
20,0.283,58.4,0.330,0.330,1.497,33.00
21,0.299,61.6,0.340,0.340,1.579,34.00
22,0.315,64.9,0.360,0.360,1.664,36.00
23,0.330,68.2,0.370,0.370,1.749,37.00
24,0.347,71.5,0.390,0.390,1.833,39.00
25,0.362,74.8,0.400,0.400,1.918,40.00
26,0.379,77.3,0.420,0.420,1.982,42.00
27,0.395,80.2,0.430,0.430,2.056,43.00
28,0.411,84.1,0.450,0.450,2.156,45.00
29,0.427,87.8,0.460,0.460,2.251,46.00
30,0.443,91.4,0.480,0.480,2.344,48.00
31,0.459,94.9,0.490,0.490,2.433,49.00
32,0.474,98.3,0.510,0.510,2.521,51.00
33,0.490,101.6,0.520,0.520,2.605,52.00
34,0.507,104.8,0.540,0.540,2.687,54.00
35,0.523,108.0,0.550,0.550,2.769,55.00
36,0.539,111.2,0.560,0.560,2.851,56.00
37,0.555,114.3,0.580,0.580,2.931,58.00
38,0.571,117.4,0.590,0.590,3.010,59.00
39,0.587,120.4,0.610,0.610,3.087,61.00
40,0.603,122.1,0.620,0.620,3.131,62.00
41,0.618,125.8,0.640,0.640,3.226,64.00
42,0.634,129.3,0.650,0.650,3.315,65.00
43,0.651,132.5,0.670,0.670,3.397,67.00
44,0.666,135.7,0.680,0.680,3.479,68.00
45,0.683,138.8,0.700,0.700,3.559,70.00
46,0.698,141.8,0.710,0.710,3.636,71.00
47,0.714,144.8,0.730,0.730,3.713,73.00
48,0.731,147.7,0.740,0.740,3.787,74.00
49,0.747,150.6,0.760,0.760,3.862,76.00
50,0.763,153.4,0.770,0.770,3.933,77.00
51,0.779,156.3,0.780,0.780,4.008,78.00
52,0.795,159.2,0.800,0.800,4.082,80.00
53,0.811,161.3,0.810,0.810,4.136,81.00
54,0.827,164.5,0.830,0.830,4.218,83.00
55,0.843,167.8,0.840,0.840,4.303,84.00
56,0.859,171.0,0.860,0.860,4.385,86.00
57,0.875,174.2,0.870,0.870,4.467,87.00
58,0.891,177.2,0.890,0.890,4.544,89.00
59,0.906,180.3,0.900,0.900,4.623,90.00
60,0.923,183.3,0.920,0.920,4.700,92.00
61,0.939,186.2,0.930,0.930,4.774,93.00
62,0.955,189.1,0.950,0.950,4.849,95.00
63,0.971,192.0,0.960,0.960,4.923,96.00
64,0.987,194.9,0.970,0.970,4.997,97.00
65,1.003,197.8,0.990,0.990,5.072,99.00
66,1.019,200.0,1.000,1.000,5.128,100.00
67,1.036,203.2,1.020,1.020,5.210,102.00
68,1.051,206.2,1.030,1.030,5.287,103.00
69,1.067,209.2,1.050,1.050,5.364,105.00
70,1.083,211.9,1.060,1.060,5.433,106.00
71,1.099,214.7,1.080,1.080,5.505,108.00
72,1.115,217.4,1.090,1.090,5.574,109.00
73,1.131,220.1,1.110,1.110,5.644,111.00
74,1.148,222.8,1.120,1.120,5.713,112.00
75,1.163,225.4,1.140,1.140,5.779,114.00
76,1.180,228.0,1.150,1.150,5.846,115.00
77,1.195,230.5,1.160,1.160,5.910,116.00
78,1.211,233.2,1.180,1.180,5.979,118.00
79,1.227,235.1,1.190,1.190,6.028,119.00
80,1.243,238.0,1.210,1.210,6.103,121.00
81,1.259,240.8,1.220,1.220,6.174,122.00
82,1.275,243.5,1.240,1.240,6.244,124.00
83,1.291,246.2,1.250,1.250,6.313,125.00
84,1.308,248.8,1.270,1.270,6.379,127.00
85,1.323,251.3,1.280,1.280,6.444,128.00
86,1.340,253.8,1.300,1.300,6.508,130.00
87,1.355,256.3,1.310,1.310,6.572,131.00
88,1.371,258.8,1.320,1.320,6.636,132.00
89,1.388,261.3,1.340,1.340,6.700,134.00
90,1.403,263.7,1.350,1.350,6.762,135.00
91,1.419,266.1,1.370,1.370,6.823,137.00
92,1.435,267.9,1.380,1.380,6.869,138.00
93,1.451,269.8,1.400,1.400,6.918,140.00
94,1.467,272.6,1.410,1.410,6.990,141.00
95,1.483,275.3,1.430,1.430,7.059,143.00
96,1.499,277.8,1.440,1.440,7.123,144.00
97,1.515,280.2,1.460,1.460,7.185,146.00
98,1.531,282.5,1.470,1.470,7.244,147.00
99,1.548,284.7,1.490,1.490,7.300,149.00
100,1.564,286.9,1.500,1.500,7.356,150.00
101,1.579,289.0,1.510,1.510,7.410,151.00
102,1.596,291.0,1.530,1.530,7.462,153.00
103,1.611,293.0,1.540,1.540,7.513,154.00
