일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,7.5,0.000,0.060,0.250,0.00
3,0.011,9.1,0.080,0.080,0.303,0.16
4,0.027,10.7,0.090,0.090,0.357,0.18
5,0.042,12.0,0.110,0.110,0.400,0.22
6,0.058,13.8,0.120,0.120,0.460,0.24
7,0.075,15.6,0.140,0.140,0.520,0.28
8,0.091,17.4,0.150,0.150,0.580,0.30
9,0.107,19.1,0.170,0.170,0.637,0.34
10,0.123,20.6,0.180,0.180,0.687,0.36
11,0.138,21.7,0.200,0.200,0.723,0.40
12,0.154,22.1,0.210,0.210,0.737,0.42
13,0.170,22.2,0.230,0.230,0.740,0.46
14,0.186,22.8,0.240,0.240,0.760,0.48
15,0.203,23.5,0.260,0.260,0.783,0.52
16,0.219,24.3,0.270,0.270,0.810,0.54
17,0.234,25.1,0.290,0.290,0.837,0.58
18,0.251,25.6,0.300,0.300,0.853,0.60
19,0.267,26.1,0.310,0.310,0.870,0.62
20,0.282,26.8,0.330,0.330,0.893,0.66
21,0.299,27.6,0.340,0.340,0.920,0.68
22,0.314,27.6,0.360,0.360,0.920,0.72
23,0.331,26.3,0.370,0.370,0.877,0.74
24,0.347,25.1,0.390,0.390,0.837,0.78
25,0.362,24.4,0.400,0.400,0.813,0.80
26,0.379,23.8,0.420,0.420,0.793,0.84
27,0.394,23.4,0.430,0.430,0.780,0.86
28,0.410,23.2,0.450,0.450,0.773,0.90
29,0.426,22.9,0.460,0.460,0.763,0.92
30,0.443,22.7,0.480,0.480,0.757,0.96
31,0.459,22.7,0.490,0.490,0.757,0.98
32,0.474,22.7,0.510,0.510,0.757,1.02
33,0.490,22.9,0.520,0.520,0.763,1.04
34,0.507,22.9,0.530,0.530,0.763,1.06
35,0.523,23.1,0.550,0.550,0.770,1.10
36,0.539,23.6,0.560,0.560,0.787,1.12
37,0.554,24.5,0.580,0.580,0.817,1.16
38,0.571,25.5,0.590,0.590,0.850,1.18
39,0.587,26.7,0.610,0.610,0.890,1.22
40,0.603,28.0,0.620,0.620,0.933,1.24
41,0.619,29.3,0.640,0.640,0.977,1.28
42,0.635,30.7,0.650,0.650,1.023,1.30
43,0.651,32.2,0.670,0.670,1.073,1.34
44,0.667,33.7,0.680,0.680,1.123,1.36
45,0.683,34.8,0.700,0.700,1.160,1.40
46,0.699,36.6,0.710,0.710,1.220,1.42
47,0.715,38.3,0.730,0.730,1.277,1.46
48,0.731,39.8,0.740,0.740,1.327,1.48
49,0.747,41.4,0.750,0.750,1.380,1.50
50,0.763,42.8,0.770,0.770,1.427,1.54
51,0.778,44.3,0.780,0.780,1.477,1.56
52,0.795,45.7,0.800,0.800,1.523,1.60
53,0.811,47.1,0.810,0.810,1.570,1.62
54,0.827,48.4,0.830,0.830,1.613,1.66
55,0.843,49.8,0.840,0.840,1.660,1.68
56,0.858,51.1,0.860,0.860,1.703,1.72
57,0.875,52.3,0.870,0.870,1.743,1.74
58,0.890,53.6,0.890,0.890,1.787,1.78
59,0.907,54.5,0.900,0.900,1.817,1.80
60,0.923,55.9,0.920,0.920,1.863,1.84
61,0.938,57.1,0.930,0.930,1.903,1.86
62,0.954,58.2,0.940,0.940,1.940,1.88
63,0.971,59.1,0.960,0.960,1.970,1.92
64,0.987,60.1,0.970,0.970,2.003,1.94
65,1.004,60.9,0.990,0.990,2.030,1.98
66,1.019,61.7,1.000,1.000,2.057,2.00
67,1.034,62.5,1.020,1.020,2.083,2.04
68,1.051,63.3,1.030,1.030,2.110,2.06
69,1.067,64.1,1.050,1.050,2.137,2.10
70,1.083,64.9,1.060,1.060,2.163,2.12
71,1.099,65.7,1.080,1.080,2.190,2.16
72,1.115,66.1,1.090,1.090,2.203,2.18
73,1.131,67.0,1.110,1.110,2.233,2.22
74,1.146,67.8,1.120,1.120,2.260,2.24
75,1.162,68.5,1.130,1.130,2.283,2.26
76,1.179,69.2,1.150,1.150,2.307,2.30
77,1.195,69.8,1.160,1.160,2.327,2.32
78,1.211,70.4,1.180,1.180,2.347,2.36
79,1.227,71.0,1.190,1.190,2.367,2.38
80,1.243,71.6,1.210,1.210,2.387,2.42
81,1.259,72.0,1.220,1.220,2.400,2.44
82,1.275,72.4,1.240,1.240,2.413,2.48
83,1.290,72.8,1.250,1.250,2.427,2.50
84,1.307,73.1,1.270,1.270,2.437,2.54
85,1.323,73.3,1.280,1.280,2.443,2.56
86,1.339,73.4,1.300,1.300,2.447,2.60
87,1.355,73.8,1.310,1.310,2.460,2.62
88,1.371,74.0,1.320,1.320,2.467,2.64
89,1.387,74.2,1.340,1.340,2.473,2.68
90,1.403,74.2,1.350,1.350,2.473,2.70
91,1.419,74.2,1.370,1.370,2.473,2.74
92,1.435,74.0,1.380,1.380,2.467,2.76
93,1.451,73.8,1.400,1.400,2.460,2.80
94,1.467,73.5,1.410,1.410,2.450,2.82
95,1.483,73.2,1.430,1.430,2.440,2.86
96,1.499,72.8,1.440,1.440,2.427,2.88
97,1.515,72.3,1.460,1.460,2.410,2.92
98,1.530,71.9,1.470,1.470,2.397,2.94
99,1.547,71.4,1.480,1.480,2.380,2.96
100,1.564,70.6,1.500,1.500,2.353,3.00
101,1.579,69.9,1.510,1.510,2.330,3.02
102,1.595,64.0,1.530,1.530,2.133,3.06
103,1.611,46.1,1.540,1.540,1.537,3.08
104,1.629,32.3,1.560,1.560,1.077,3.12
