일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,5.7,0.000,0.070,0.190,0.00
3,0.011,7.2,0.080,0.080,0.240,0.16
4,0.027,8.7,0.100,0.100,0.290,0.20
5,0.043,10.1,0.110,0.110,0.337,0.22
6,0.059,11.4,0.130,0.130,0.380,0.26
7,0.075,12.7,0.140,0.140,0.423,0.28
8,0.091,13.9,0.160,0.160,0.463,0.32
9,0.107,15.0,0.170,0.170,0.500,0.34
10,0.123,16.1,0.180,0.180,0.537,0.36
11,0.139,17.1,0.200,0.200,0.570,0.40
12,0.155,17.9,0.210,0.210,0.597,0.42
13,0.171,18.7,0.230,0.230,0.623,0.46
14,0.186,19.4,0.240,0.240,0.647,0.48
15,0.203,19.8,0.260,0.260,0.660,0.52
16,0.219,20.0,0.270,0.270,0.667,0.54
17,0.235,20.3,0.290,0.290,0.677,0.58
18,0.251,20.7,0.300,0.300,0.690,0.60
19,0.268,21.2,0.320,0.320,0.707,0.64
20,0.284,21.5,0.330,0.330,0.717,0.66
21,0.299,21.8,0.350,0.350,0.727,0.70
22,0.316,22.3,0.360,0.360,0.743,0.72
23,0.331,23.0,0.380,0.380,0.767,0.76
24,0.348,23.8,0.390,0.390,0.793,0.78
25,0.363,24.7,0.410,0.410,0.823,0.82
26,0.379,25.6,0.420,0.420,0.853,0.84
27,0.395,26.3,0.430,0.430,0.877,0.86
28,0.411,27.3,0.450,0.450,0.910,0.90
29,0.427,27.2,0.460,0.460,0.907,0.92
30,0.443,25.6,0.480,0.480,0.853,0.96
31,0.459,24.2,0.490,0.490,0.807,0.98
32,0.476,23.4,0.510,0.510,0.780,1.02
33,0.492,22.7,0.520,0.520,0.757,1.04
34,0.508,22.1,0.540,0.540,0.737,1.08
35,0.524,21.7,0.550,0.550,0.723,1.10
36,0.540,21.5,0.570,0.570,0.717,1.14
37,0.556,21.4,0.580,0.580,0.713,1.16
38,0.571,21.4,0.600,0.600,0.713,1.20
39,0.587,21.7,0.610,0.610,0.723,1.22
40,0.603,21.9,0.630,0.630,0.730,1.26
41,0.618,22.2,0.640,0.640,0.740,1.28
42,0.635,22.9,0.650,0.650,0.763,1.30
43,0.651,23.6,0.670,0.670,0.787,1.34
44,0.667,24.3,0.680,0.680,0.810,1.36
45,0.684,25.1,0.700,0.700,0.837,1.40
46,0.699,26.1,0.710,0.710,0.870,1.42
47,0.715,27.2,0.730,0.730,0.907,1.46
48,0.731,28.3,0.740,0.740,0.943,1.48
49,0.747,29.4,0.760,0.760,0.980,1.52
50,0.763,30.5,0.770,0.770,1.017,1.54
51,0.780,31.6,0.790,0.790,1.053,1.58
52,0.795,32.6,0.800,0.800,1.087,1.60
53,0.812,33.4,0.820,0.820,1.113,1.64
54,0.827,34.6,0.830,0.830,1.153,1.66
55,0.843,35.3,0.850,0.850,1.177,1.70
56,0.859,35.9,0.860,0.860,1.197,1.72
57,0.875,36.5,0.870,0.870,1.217,1.74
58,0.891,37.0,0.890,0.890,1.233,1.78
59,0.907,37.4,0.900,0.900,1.247,1.80
60,0.923,37.8,0.920,0.920,1.260,1.84
61,0.939,38.2,0.930,0.930,1.273,1.86
62,0.955,38.7,0.950,0.950,1.290,1.90
63,0.971,39.1,0.960,0.960,1.303,1.92
64,0.987,39.5,0.980,0.980,1.317,1.96
65,1.003,39.9,0.990,0.990,1.330,1.98
66,1.019,40.3,1.010,1.010,1.343,2.02
67,1.035,40.7,1.020,1.020,1.357,2.04
68,1.051,41.2,1.040,1.040,1.373,2.08
69,1.068,41.6,1.050,1.050,1.387,2.10
70,1.084,42.0,1.060,1.060,1.400,2.12
71,1.100,42.5,1.080,1.080,1.417,2.16
72,1.116,43.0,1.090,1.090,1.433,2.18
73,1.132,43.4,1.110,1.110,1.447,2.22
74,1.148,43.9,1.120,1.120,1.463,2.24
75,1.163,44.3,1.140,1.140,1.477,2.28
76,1.179,44.7,1.150,1.150,1.490,2.30
77,1.195,45.1,1.170,1.170,1.503,2.34
78,1.211,45.6,1.180,1.180,1.520,2.36
79,1.227,46.0,1.200,1.200,1.533,2.40
80,1.243,46.3,1.210,1.210,1.543,2.42
81,1.259,46.8,1.220,1.220,1.560,2.44
82,1.276,47.3,1.240,1.240,1.577,2.48
83,1.292,47.8,1.250,1.250,1.593,2.50
84,1.307,48.2,1.270,1.270,1.607,2.54
85,1.323,48.7,1.280,1.280,1.623,2.56
86,1.339,49.2,1.300,1.300,1.640,2.60
87,1.355,49.7,1.310,1.310,1.657,2.62
88,1.372,50.1,1.330,1.330,1.670,2.66
89,1.388,50.6,1.340,1.340,1.687,2.68
90,1.404,51.0,1.360,1.360,1.700,2.72
91,1.419,51.4,1.370,1.370,1.713,2.74
92,1.435,51.9,1.390,1.390,1.730,2.78
93,1.452,52.5,1.400,1.400,1.750,2.80
94,1.467,52.9,1.410,1.410,1.763,2.82
95,1.483,53.3,1.430,1.430,1.777,2.86
96,1.500,53.8,1.440,1.440,1.793,2.88
97,1.516,54.2,1.460,1.460,1.807,2.92
98,1.532,54.6,1.470,1.470,1.820,2.94
99,1.548,55.0,1.490,1.490,1.833,2.98
100,1.563,55.5,1.500,1.500,1.850,3.00
101,1.579,55.9,1.520,1.520,1.863,3.04
102,1.595,56.3,1.530,1.530,1.877,3.06
103,1.612,56.6,1.550,1.550,1.887,3.10
