일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,6.7,0.000,0.070,0.223,0.00
3,0.011,8.1,0.080,0.080,0.270,0.16
4,0.027,9.6,0.100,0.100,0.320,0.20
5,0.044,11.2,0.110,0.110,0.373,0.22
6,0.059,12.7,0.130,0.130,0.423,0.26
7,0.075,13.4,0.140,0.140,0.447,0.28
8,0.091,15.1,0.160,0.160,0.503,0.32
9,0.107,17.0,0.170,0.170,0.567,0.34
10,0.123,18.7,0.180,0.180,0.623,0.36
11,0.139,20.3,0.200,0.200,0.677,0.40
12,0.155,21.7,0.210,0.210,0.723,0.42
13,0.170,22.8,0.230,0.230,0.760,0.46
14,0.187,23.4,0.240,0.240,0.780,0.48
15,0.203,23.4,0.260,0.260,0.780,0.52
16,0.219,23.3,0.270,0.270,0.777,0.54
17,0.234,23.3,0.290,0.290,0.777,0.58
18,0.250,23.6,0.300,0.300,0.787,0.60
19,0.267,24.2,0.320,0.320,0.807,0.64
20,0.282,25.0,0.330,0.330,0.833,0.66
21,0.298,25.5,0.350,0.350,0.850,0.70
22,0.315,26.8,0.360,0.360,0.893,0.72
23,0.331,28.2,0.380,0.380,0.940,0.76
24,0.347,29.6,0.390,0.390,0.987,0.78
25,0.364,31.0,0.410,0.410,1.033,0.82
26,0.380,32.3,0.420,0.420,1.077,0.84
27,0.395,33.0,0.430,0.430,1.100,0.86
28,0.411,30.4,0.450,0.450,1.013,0.90
29,0.427,28.3,0.460,0.460,0.943,0.92
30,0.443,26.8,0.480,0.480,0.893,0.96
31,0.459,25.8,0.490,0.490,0.860,0.98
32,0.476,25.2,0.510,0.510,0.840,1.02
33,0.491,24.8,0.520,0.520,0.827,1.04
34,0.508,24.6,0.540,0.540,0.820,1.08
35,0.524,24.4,0.550,0.550,0.813,1.10
36,0.540,24.4,0.570,0.570,0.813,1.14
37,0.555,24.5,0.580,0.580,0.817,1.16
38,0.572,24.6,0.600,0.600,0.820,1.20
39,0.587,25.1,0.610,0.610,0.837,1.22
40,0.603,25.7,0.630,0.630,0.857,1.26
41,0.619,26.6,0.640,0.640,0.887,1.28
42,0.635,27.6,0.650,0.650,0.920,1.30
43,0.651,28.8,0.670,0.670,0.960,1.34
44,0.667,30.0,0.680,0.680,1.000,1.36
45,0.683,31.3,0.700,0.700,1.043,1.40
46,0.699,32.6,0.710,0.710,1.087,1.42
47,0.715,34.0,0.730,0.730,1.133,1.46
48,0.731,34.6,0.740,0.740,1.153,1.48
49,0.748,36.1,0.760,0.760,1.203,1.52
50,0.763,37.7,0.770,0.770,1.257,1.54
51,0.779,39.2,0.790,0.790,1.307,1.58
52,0.794,40.6,0.800,0.800,1.353,1.60
53,0.811,41.9,0.820,0.820,1.397,1.64
54,0.827,43.2,0.830,0.830,1.440,1.66
55,0.843,44.5,0.850,0.850,1.483,1.70
56,0.859,45.7,0.860,0.860,1.523,1.72
57,0.875,46.9,0.870,0.870,1.563,1.74
58,0.892,48.1,0.890,0.890,1.603,1.78
59,0.907,49.2,0.900,0.900,1.640,1.80
60,0.923,50.3,0.920,0.920,1.677,1.84
61,0.939,50.8,0.930,0.930,1.693,1.86
62,0.955,51.8,0.950,0.950,1.727,1.90
63,0.972,53.0,0.960,0.960,1.767,1.92
64,0.987,54.0,0.980,0.980,1.800,1.96
65,1.003,54.9,0.990,0.990,1.830,1.98
66,1.019,55.7,1.010,1.010,1.857,2.02
67,1.035,56.4,1.020,1.020,1.880,2.04
68,1.051,57.1,1.030,1.030,1.903,2.06
69,1.068,57.8,1.050,1.050,1.927,2.10
70,1.083,58.4,1.060,1.060,1.947,2.12
71,1.099,59.0,1.080,1.080,1.967,2.16
72,1.115,59.7,1.090,1.090,1.990,2.18
73,1.131,60.4,1.110,1.110,2.013,2.22
74,1.147,60.9,1.120,1.120,2.030,2.24
75,1.164,61.4,1.140,1.140,2.047,2.28
76,1.179,62.0,1.150,1.150,2.067,2.30
77,1.196,62.6,1.170,1.170,2.087,2.34
78,1.211,63.3,1.180,1.180,2.110,2.36
79,1.227,63.8,1.200,1.200,2.127,2.40
80,1.243,64.4,1.210,1.210,2.147,2.42
81,1.259,64.8,1.220,1.220,2.160,2.44
82,1.275,65.3,1.240,1.240,2.177,2.48
83,1.291,65.8,1.250,1.250,2.193,2.50
84,1.307,66.3,1.270,1.270,2.210,2.54
85,1.323,66.8,1.280,1.280,2.227,2.56
86,1.339,67.3,1.300,1.300,2.243,2.60
87,1.355,67.7,1.310,1.310,2.257,2.62
88,1.371,68.1,1.330,1.330,2.270,2.66
89,1.388,68.6,1.340,1.340,2.287,2.68
90,1.404,69.1,1.360,1.360,2.303,2.72
91,1.419,69.7,1.370,1.370,2.323,2.74
92,1.435,70.1,1.390,1.390,2.337,2.78
93,1.452,70.6,1.400,1.400,2.353,2.80
94,1.468,71.0,1.410,1.410,2.367,2.82
95,1.483,71.5,1.430,1.430,2.383,2.86
96,1.500,71.9,1.440,1.440,2.397,2.88
97,1.516,72.3,1.460,1.460,2.410,2.92
98,1.531,72.6,1.470,1.470,2.420,2.94
99,1.547,73.0,1.490,1.490,2.433,2.98
100,1.563,73.4,1.500,1.500,2.447,3.00
101,1.579,73.8,1.520,1.520,2.460,3.04
102,1.595,74.2,1.530,1.530,2.473,3.06
103,1.611,74.4,1.550,1.550,2.480,3.10
