일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,6.5,0.000,0.070,0.217,0.00
3,0.011,8.1,0.080,0.080,0.270,0.16
4,0.027,9.8,0.100,0.100,0.327,0.20
5,0.044,11.5,0.110,0.110,0.383,0.22
6,0.060,13.1,0.130,0.130,0.437,0.26
7,0.075,14.7,0.140,0.140,0.490,0.28
8,0.091,16.2,0.160,0.160,0.540,0.32
9,0.107,17.6,0.170,0.170,0.587,0.34
10,0.123,18.8,0.180,0.180,0.627,0.36
11,0.139,19.9,0.200,0.200,0.663,0.40
12,0.154,20.6,0.210,0.210,0.687,0.42
13,0.171,21.0,0.230,0.230,0.700,0.46
14,0.188,21.3,0.240,0.240,0.710,0.48
15,0.203,21.5,0.260,0.260,0.717,0.52
16,0.219,21.7,0.270,0.270,0.723,0.54
17,0.236,22.4,0.290,0.290,0.747,0.58
18,0.251,23.1,0.300,0.300,0.770,0.60
19,0.267,23.9,0.320,0.320,0.797,0.64
20,0.283,24.9,0.330,0.330,0.830,0.66
21,0.299,26.0,0.350,0.350,0.867,0.70
22,0.316,27.2,0.360,0.360,0.907,0.72
23,0.331,28.3,0.380,0.380,0.943,0.76
24,0.348,29.1,0.390,0.390,0.970,0.78
25,0.363,28.3,0.410,0.410,0.943,0.82
26,0.379,26.2,0.420,0.420,0.873,0.84
27,0.395,24.8,0.430,0.430,0.827,0.86
28,0.411,23.9,0.450,0.450,0.797,0.90
29,0.427,23.4,0.460,0.460,0.780,0.92
30,0.443,22.9,0.480,0.480,0.763,0.96
31,0.459,22.7,0.490,0.490,0.757,0.98
32,0.475,22.7,0.510,0.510,0.757,1.02
33,0.491,22.7,0.520,0.520,0.757,1.04
34,0.508,22.9,0.540,0.540,0.763,1.08
35,0.523,23.3,0.550,0.550,0.777,1.10
36,0.539,23.9,0.570,0.570,0.797,1.14
37,0.555,24.8,0.580,0.580,0.827,1.16
38,0.572,25.8,0.600,0.600,0.860,1.20
39,0.588,27.0,0.610,0.610,0.900,1.22
40,0.603,28.3,0.630,0.630,0.943,1.26
41,0.620,29.6,0.640,0.640,0.987,1.28
42,0.635,30.4,0.650,0.650,1.013,1.30
43,0.651,32.1,0.670,0.670,1.070,1.34
44,0.667,33.6,0.680,0.680,1.120,1.36
45,0.683,35.1,0.700,0.700,1.170,1.40
46,0.699,36.6,0.710,0.710,1.220,1.42
47,0.716,38.0,0.730,0.730,1.267,1.46
48,0.731,39.3,0.740,0.740,1.310,1.48
49,0.747,40.7,0.760,0.760,1.357,1.52
50,0.763,42.0,0.770,0.770,1.400,1.54
51,0.780,43.3,0.790,0.790,1.443,1.58
52,0.796,44.5,0.800,0.800,1.483,1.60
53,0.812,45.7,0.820,0.820,1.523,1.64
54,0.828,46.9,0.830,0.830,1.563,1.66
55,0.844,48.1,0.850,0.850,1.603,1.70
56,0.859,49.2,0.860,0.860,1.640,1.72
57,0.876,50.5,0.870,0.870,1.683,1.74
58,0.891,51.7,0.890,0.890,1.723,1.78
59,0.907,52.8,0.900,0.900,1.760,1.80
60,0.922,53.9,0.920,0.920,1.797,1.84
61,0.940,54.8,0.930,0.930,1.827,1.86
62,0.954,55.7,0.950,0.950,1.857,1.90
63,0.970,56.5,0.960,0.960,1.883,1.92
64,0.988,57.3,0.980,0.980,1.910,1.96
65,1.004,58.1,0.990,0.990,1.937,1.98
66,1.020,58.8,1.010,1.010,1.960,2.02
67,1.036,59.6,1.020,1.020,1.987,2.04
68,1.052,60.3,1.040,1.040,2.010,2.08
69,1.068,60.9,1.050,1.050,2.030,2.10
70,1.084,61.8,1.060,1.060,2.060,2.12
71,1.099,62.4,1.080,1.080,2.080,2.16
72,1.115,63.1,1.090,1.090,2.103,2.18
73,1.131,63.7,1.110,1.110,2.123,2.22
74,1.147,64.2,1.120,1.120,2.140,2.24
75,1.164,64.8,1.140,1.140,2.160,2.28
76,1.179,65.3,1.150,1.150,2.177,2.30
77,1.195,65.9,1.170,1.170,2.197,2.34
78,1.211,66.4,1.180,1.180,2.213,2.36
79,1.227,66.9,1.200,1.200,2.230,2.40
80,1.243,67.4,1.210,1.210,2.247,2.42
81,1.260,67.8,1.220,1.220,2.260,2.44
82,1.275,68.2,1.240,1.240,2.273,2.48
83,1.291,68.6,1.250,1.250,2.287,2.50
84,1.307,69.0,1.270,1.270,2.300,2.54
85,1.323,69.2,1.280,1.280,2.307,2.56
86,1.339,69.2,1.300,1.300,2.307,2.60
87,1.355,69.2,1.310,1.310,2.307,2.62
88,1.371,69.2,1.330,1.330,2.307,2.66
89,1.387,69.2,1.340,1.340,2.307,2.68
90,1.403,68.9,1.360,1.360,2.297,2.72
91,1.419,68.6,1.370,1.370,2.287,2.74
92,1.435,68.3,1.390,1.390,2.277,2.78
93,1.452,67.7,1.400,1.400,2.257,2.80
94,1.468,67.1,1.410,1.410,2.237,2.82
95,1.484,60.2,1.430,1.430,2.007,2.86
96,1.500,46.8,1.440,1.440,1.560,2.88
97,1.516,32.6,1.460,1.460,1.087,2.92
