일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,5.4,0.000,0.070,0.180,0.00
3,0.008,6.5,0.080,0.080,0.217,0.16
4,0.024,7.6,0.100,0.100,0.253,0.20
5,0.042,8.6,0.110,0.110,0.287,0.22
6,0.056,9.6,0.130,0.130,0.320,0.26
7,0.073,10.6,0.140,0.140,0.353,0.28
8,0.089,11.6,0.160,0.160,0.387,0.32
9,0.105,12.6,0.170,0.170,0.420,0.34
10,0.121,13.6,0.190,0.190,0.453,0.38
11,0.137,14.5,0.200,0.200,0.483,0.40
12,0.154,15.5,0.220,0.220,0.517,0.44
13,0.170,16.4,0.230,0.230,0.547,0.46
14,0.186,17.4,0.250,0.250,0.580,0.50
15,0.200,17.9,0.260,0.260,0.597,0.52
16,0.217,18.6,0.280,0.280,0.620,0.56
17,0.233,18.7,0.290,0.290,0.623,0.58
18,0.250,18.7,0.300,0.300,0.623,0.60
19,0.266,18.9,0.320,0.320,0.630,0.64
20,0.281,19.3,0.330,0.330,0.643,0.66
21,0.297,19.6,0.350,0.350,0.653,0.70
22,0.313,20.1,0.360,0.360,0.670,0.72
23,0.329,20.6,0.380,0.380,0.687,0.76
24,0.345,21.2,0.390,0.390,0.707,0.78
25,0.361,21.9,0.410,0.410,0.730,0.82
26,0.377,22.6,0.420,0.420,0.753,0.84
27,0.393,23.4,0.440,0.440,0.780,0.88
28,0.409,24.0,0.450,0.450,0.800,0.90
29,0.425,25.1,0.470,0.470,0.837,0.94
30,0.442,26.0,0.480,0.480,0.867,0.96
31,0.457,26.8,0.500,0.500,0.893,1.00
32,0.472,27.6,0.510,0.510,0.920,1.02
33,0.489,28.5,0.530,0.530,0.950,1.06
34,0.505,29.2,0.540,0.540,0.973,1.08
35,0.522,29.2,0.550,0.550,0.973,1.10
36,0.537,26.6,0.570,0.570,0.887,1.14
37,0.553,24.4,0.580,0.580,0.813,1.16
38,0.569,22.8,0.600,0.600,0.760,1.20
39,0.585,21.8,0.610,0.610,0.727,1.22
40,0.601,21.4,0.630,0.630,0.713,1.26
41,0.617,21.3,0.640,0.640,0.710,1.28
42,0.633,21.4,0.660,0.660,0.713,1.32
43,0.650,21.7,0.670,0.670,0.723,1.34
44,0.665,22.1,0.690,0.690,0.737,1.38
45,0.681,22.6,0.700,0.700,0.753,1.40
46,0.697,23.3,0.720,0.720,0.777,1.44
47,0.712,24.1,0.730,0.730,0.803,1.46
48,0.729,24.9,0.740,0.740,0.830,1.48
49,0.746,25.7,0.760,0.760,0.857,1.52
50,0.761,26.6,0.770,0.770,0.887,1.54
51,0.778,27.5,0.790,0.790,0.917,1.58
52,0.794,28.3,0.800,0.800,0.943,1.60
53,0.809,29.3,0.820,0.820,0.977,1.64
54,0.825,30.1,0.830,0.830,1.003,1.66
55,0.841,30.5,0.850,0.850,1.017,1.70
56,0.858,31.3,0.860,0.860,1.043,1.72
57,0.873,32.4,0.880,0.880,1.080,1.76
58,0.890,33.4,0.890,0.890,1.113,1.78
59,0.905,34.2,0.910,0.910,1.140,1.82
60,0.921,35.0,0.920,0.920,1.167,1.84
61,0.937,35.8,0.930,0.930,1.193,1.86
62,0.954,36.5,0.950,0.950,1.217,1.90
63,0.969,37.1,0.960,0.960,1.237,1.92
64,0.985,37.8,0.980,0.980,1.260,1.96
65,1.001,38.4,0.990,0.990,1.280,1.98
66,1.017,39.0,1.010,1.010,1.300,2.02
67,1.033,39.5,1.020,1.020,1.317,2.04
68,1.050,39.8,1.040,1.040,1.327,2.08
69,1.066,40.0,1.050,1.050,1.333,2.10
70,1.081,40.3,1.070,1.070,1.343,2.14
71,1.097,40.4,1.080,1.080,1.347,2.16
72,1.114,34.1,1.100,1.100,1.137,2.20
73,1.129,23.3,1.110,1.110,0.777,2.22
74,1.146,16.0,1.120,1.120,0.533,2.24
