일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,5.7,0.000,0.060,0.190,0.00
3,0.011,6.9,0.080,0.080,0.230,0.16
4,0.027,9.0,0.100,0.100,0.300,0.20
5,0.043,10.3,0.120,0.120,0.343,0.24
6,0.059,11.1,0.120,0.120,0.370,0.24
7,0.075,12.9,0.150,0.150,0.430,0.30
8,0.090,14.1,0.160,0.160,0.470,0.32
9,0.107,15.3,0.180,0.180,0.510,0.36
10,0.123,16.4,0.190,0.190,0.547,0.38
11,0.139,17.4,0.210,0.210,0.580,0.42
12,0.155,18.3,0.220,0.220,0.610,0.44
13,0.170,19.0,0.230,0.230,0.633,0.46
14,0.186,19.7,0.250,0.250,0.657,0.50
15,0.202,20.2,0.260,0.260,0.673,0.52
16,0.219,20.6,0.280,0.280,0.687,0.56
17,0.235,21.2,0.290,0.290,0.707,0.58
18,0.251,21.7,0.310,0.310,0.723,0.62
19,0.267,22.1,0.320,0.320,0.737,0.64
20,0.283,22.6,0.340,0.340,0.753,0.68
21,0.299,22.9,0.350,0.350,0.763,0.70
22,0.315,23.3,0.370,0.370,0.777,0.74
23,0.330,23.5,0.380,0.380,0.783,0.76
24,0.347,23.8,0.400,0.400,0.793,0.80
25,0.362,23.9,0.410,0.410,0.797,0.82
26,0.379,24.0,0.430,0.430,0.800,0.86
27,0.395,24.0,0.440,0.440,0.800,0.88
28,0.411,24.0,0.450,0.450,0.800,0.90
29,0.427,24.3,0.470,0.470,0.810,0.94
30,0.443,24.9,0.480,0.480,0.830,0.96
31,0.459,25.7,0.500,0.500,0.857,1.00
32,0.474,26.5,0.510,0.510,0.883,1.02
33,0.492,27.3,0.530,0.530,0.910,1.06
34,0.507,28.1,0.540,0.540,0.937,1.08
35,0.523,28.9,0.560,0.560,0.963,1.12
36,0.539,29.5,0.570,0.570,0.983,1.14
37,0.555,29.7,0.590,0.590,0.990,1.18
38,0.571,29.1,0.600,0.600,0.970,1.20
39,0.586,28.4,0.620,0.620,0.947,1.24
40,0.603,27.6,0.630,0.630,0.920,1.26
41,0.619,26.8,0.650,0.650,0.893,1.30
42,0.635,26.5,0.660,0.660,0.883,1.32
43,0.651,26.2,0.670,0.670,0.873,1.34
44,0.667,25.9,0.690,0.690,0.863,1.38
45,0.683,25.8,0.700,0.700,0.860,1.40
46,0.699,25.6,0.720,0.720,0.853,1.44
47,0.715,25.4,0.730,0.730,0.847,1.46
48,0.731,25.4,0.750,0.750,0.847,1.50
49,0.747,25.4,0.760,0.760,0.847,1.52
50,0.763,25.4,0.780,0.780,0.847,1.56
51,0.779,25.5,0.790,0.790,0.850,1.58
52,0.795,25.9,0.810,0.810,0.863,1.62
53,0.811,26.5,0.820,0.820,0.883,1.64
54,0.827,26.9,0.840,0.840,0.897,1.68
55,0.843,27.4,0.850,0.850,0.913,1.70
56,0.859,28.4,0.860,0.860,0.947,1.72
57,0.875,29.3,0.880,0.880,0.977,1.76
58,0.891,30.4,0.890,0.890,1.013,1.78
59,0.907,31.5,0.910,0.910,1.050,1.82
60,0.923,32.5,0.920,0.920,1.083,1.84
61,0.939,33.6,0.940,0.940,1.120,1.88
62,0.955,34.6,0.950,0.950,1.153,1.90
63,0.971,35.5,0.970,0.970,1.183,1.94
64,0.987,36.3,0.980,0.980,1.210,1.96
65,1.003,37.1,1.000,1.000,1.237,2.00
66,1.019,37.8,1.010,1.010,1.260,2.02
67,1.035,38.4,1.030,1.030,1.280,2.06
68,1.051,39.1,1.040,1.040,1.303,2.08
69,1.068,39.4,1.050,1.050,1.313,2.10
70,1.083,40.2,1.070,1.070,1.340,2.14
71,1.099,40.9,1.080,1.080,1.363,2.16
72,1.115,41.5,1.100,1.100,1.383,2.20
73,1.132,42.1,1.110,1.110,1.403,2.22
74,1.148,42.7,1.130,1.130,1.423,2.26
75,1.164,43.2,1.140,1.140,1.440,2.28
76,1.179,43.7,1.160,1.160,1.457,2.32
77,1.195,44.3,1.170,1.170,1.477,2.34
78,1.211,44.8,1.190,1.190,1.493,2.38
79,1.227,45.3,1.200,1.200,1.510,2.40
80,1.243,45.8,1.220,1.220,1.527,2.44
81,1.259,46.3,1.230,1.230,1.543,2.46
82,1.275,46.7,1.240,1.240,1.557,2.48
83,1.291,47.2,1.260,1.260,1.573,2.52
84,1.308,47.9,1.270,1.270,1.597,2.54
85,1.323,48.4,1.290,1.290,1.613,2.58
86,1.339,48.9,1.300,1.300,1.630,2.60
87,1.355,49.3,1.320,1.320,1.643,2.64
88,1.371,49.8,1.330,1.330,1.660,2.66
89,1.387,50.2,1.350,1.350,1.673,2.70
90,1.403,50.7,1.360,1.360,1.690,2.72
91,1.420,51.2,1.380,1.380,1.707,2.76
92,1.435,51.6,1.390,1.390,1.720,2.78
93,1.451,52.0,1.400,1.400,1.733,2.80
94,1.466,52.4,1.420,1.420,1.747,2.84
95,1.483,52.7,1.430,1.430,1.757,2.86
96,1.500,52.9,1.450,1.450,1.763,2.90
97,1.515,53.4,1.460,1.460,1.780,2.92
98,1.531,53.9,1.480,1.480,1.797,2.96
99,1.547,54.4,1.490,1.490,1.813,2.98
100,1.563,54.9,1.510,1.510,1.830,3.02
101,1.579,55.3,1.520,1.520,1.843,3.04
102,1.595,55.7,1.540,1.540,1.857,3.08
103,1.611,56.1,1.550,1.550,1.870,3.10
