일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,15.7,0.000,0.060,0.523,0.00
3,0.011,18.3,0.080,0.080,0.610,0.16
4,0.027,20.8,0.090,0.090,0.693,0.18
5,0.043,22.9,0.110,0.110,0.763,0.22
6,0.059,24.5,0.120,0.120,0.817,0.24
7,0.075,25.6,0.140,0.140,0.853,0.28
8,0.090,25.9,0.150,0.150,0.863,0.30
9,0.107,26.0,0.170,0.170,0.867,0.34
10,0.123,26.4,0.180,0.180,0.880,0.36
11,0.139,27.1,0.200,0.200,0.903,0.40
12,0.155,27.9,0.210,0.210,0.930,0.42
13,0.171,29.0,0.230,0.230,0.967,0.46
14,0.187,30.6,0.240,0.240,1.020,0.48
15,0.203,32.5,0.260,0.260,1.083,0.52
16,0.219,34.4,0.270,0.270,1.147,0.54
17,0.234,36.1,0.290,0.290,1.203,0.58
18,0.251,35.1,0.300,0.300,1.170,0.60
19,0.266,32.6,0.320,0.320,1.087,0.64
20,0.283,30.9,0.330,0.330,1.030,0.66
21,0.298,29.9,0.350,0.350,0.997,0.70
22,0.315,29.1,0.360,0.360,0.970,0.72
23,0.330,28.6,0.370,0.370,0.953,0.74
24,0.346,28.1,0.390,0.390,0.937,0.78
25,0.363,28.0,0.400,0.400,0.933,0.80
26,0.378,27.8,0.420,0.420,0.927,0.84
27,0.395,27.8,0.430,0.430,0.927,0.86
28,0.411,27.8,0.450,0.450,0.927,0.90
29,0.426,27.9,0.460,0.460,0.930,0.92
30,0.443,28.2,0.480,0.480,0.940,0.96
31,0.459,28.6,0.490,0.490,0.953,0.98
32,0.475,29.1,0.510,0.510,0.970,1.02
33,0.491,29.8,0.520,0.520,0.993,1.04
34,0.507,30.7,0.540,0.540,1.023,1.08
35,0.523,31.5,0.550,0.550,1.050,1.10
36,0.538,33.4,0.570,0.570,1.113,1.14
37,0.554,35.9,0.580,0.580,1.197,1.16
38,0.571,38.5,0.590,0.590,1.283,1.18
39,0.586,41.2,0.610,0.610,1.373,1.22
40,0.603,43.9,0.620,0.620,1.463,1.24
41,0.619,46.7,0.640,0.640,1.557,1.28
42,0.635,49.5,0.650,0.650,1.650,1.30
43,0.651,52.3,0.670,0.670,1.743,1.34
44,0.667,55.1,0.680,0.680,1.837,1.36
45,0.682,57.9,0.700,0.700,1.930,1.40
46,0.699,60.7,0.710,0.710,2.023,1.42
47,0.715,63.5,0.730,0.730,2.117,1.46
48,0.731,66.2,0.740,0.740,2.207,1.48
49,0.747,68.2,0.760,0.760,2.273,1.52
50,0.763,71.3,0.770,0.770,2.377,1.54
51,0.779,74.4,0.790,0.790,2.480,1.58
52,0.794,77.3,0.800,0.800,2.577,1.60
53,0.810,80.1,0.810,0.810,2.670,1.62
54,0.827,82.8,0.830,0.830,2.760,1.66
55,0.843,85.5,0.840,0.840,2.850,1.68
56,0.860,88.2,0.860,0.860,2.940,1.72
57,0.875,90.8,0.870,0.870,3.027,1.74
58,0.891,93.4,0.890,0.890,3.113,1.78
59,0.906,96.0,0.900,0.900,3.200,1.80
60,0.923,98.6,0.920,0.920,3.287,1.84
61,0.939,101.1,0.930,0.930,3.370,1.86
62,0.955,102.3,0.950,0.950,3.410,1.90
63,0.971,105.0,0.960,0.960,3.500,1.92
64,0.987,108.0,0.980,0.980,3.600,1.96
65,1.002,110.9,0.990,0.990,3.697,1.98
66,1.019,113.7,1.000,1.000,3.790,2.00
67,1.035,116.3,1.020,1.020,3.877,2.04
68,1.051,118.8,1.030,1.030,3.960,2.06
69,1.067,121.4,1.050,1.050,4.047,2.10
70,1.083,123.8,1.060,1.060,4.127,2.12
71,1.098,126.3,1.080,1.080,4.210,2.16
72,1.115,128.7,1.090,1.090,4.290,2.18
73,1.131,131.1,1.110,1.110,4.370,2.22
74,1.147,133.5,1.120,1.120,4.450,2.24
75,1.162,135.9,1.140,1.140,4.530,2.28
76,1.179,137.6,1.150,1.150,4.587,2.30
77,1.195,140.3,1.170,1.170,4.677,2.34
78,1.211,142.9,1.180,1.180,4.763,2.36
79,1.226,145.5,1.190,1.190,4.850,2.38
80,1.243,147.9,1.210,1.210,4.930,2.42
81,1.260,150.3,1.220,1.220,5.010,2.44
82,1.274,152.7,1.240,1.240,5.090,2.48
83,1.290,155.0,1.250,1.250,5.167,2.50
84,1.307,157.3,1.270,1.270,5.243,2.54
85,1.322,159.5,1.280,1.280,5.317,2.56
86,1.339,161.8,1.300,1.300,5.393,2.60
87,1.355,164.0,1.310,1.310,5.467,2.62
88,1.371,166.1,1.330,1.330,5.537,2.66
89,1.386,167.7,1.340,1.340,5.590,2.68
90,1.403,169.5,1.350,1.350,5.650,2.70
91,1.419,172.0,1.370,1.370,5.733,2.74
92,1.435,174.4,1.380,1.380,5.813,2.76
93,1.451,176.7,1.400,1.400,5.890,2.80
94,1.467,178.9,1.410,1.410,5.963,2.82
95,1.483,181.0,1.430,1.430,6.033,2.86
96,1.499,183.1,1.440,1.440,6.103,2.88
97,1.516,185.2,1.460,1.460,6.173,2.92
98,1.531,187.2,1.470,1.470,6.240,2.94
99,1.547,189.3,1.490,1.490,6.310,2.98
100,1.562,191.3,1.500,1.500,6.377,3.00
101,1.579,193.3,1.520,1.520,6.443,3.04
102,1.595,195.3,1.530,1.530,6.510,3.06
103,1.611,196.8,1.540,1.540,6.560,3.08
