일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,6.6,0.000,0.070,0.220,0.00
3,0.010,8.0,0.080,0.080,0.267,0.16
4,0.027,9.4,0.100,0.100,0.313,0.20
5,0.042,10.9,0.110,0.110,0.363,0.22
6,0.058,12.3,0.130,0.130,0.410,0.26
7,0.074,13.7,0.140,0.140,0.457,0.28
8,0.092,15.2,0.160,0.160,0.507,0.32
9,0.107,16.7,0.170,0.170,0.557,0.34
10,0.123,18.2,0.180,0.180,0.607,0.36
11,0.139,19.2,0.200,0.200,0.640,0.40
12,0.155,20.9,0.210,0.210,0.697,0.42
13,0.171,22.5,0.230,0.230,0.750,0.46
14,0.187,23.9,0.240,0.240,0.797,0.48
15,0.203,25.2,0.260,0.260,0.840,0.52
16,0.219,26.2,0.270,0.270,0.873,0.54
17,0.235,27.2,0.290,0.290,0.907,0.58
18,0.251,28.0,0.300,0.300,0.933,0.60
19,0.267,28.6,0.320,0.320,0.953,0.64
20,0.283,28.8,0.330,0.330,0.960,0.66
21,0.299,29.1,0.350,0.350,0.970,0.70
22,0.315,29.6,0.360,0.360,0.987,0.72
23,0.331,30.1,0.380,0.380,1.003,0.76
24,0.347,30.7,0.390,0.390,1.023,0.78
25,0.363,31.0,0.410,0.410,1.033,0.82
26,0.379,31.8,0.420,0.420,1.060,0.84
27,0.395,32.8,0.430,0.430,1.093,0.86
28,0.411,33.7,0.450,0.450,1.123,0.90
29,0.427,33.9,0.460,0.460,1.130,0.92
30,0.443,32.2,0.480,0.480,1.073,0.96
31,0.459,30.5,0.490,0.490,1.017,0.98
32,0.475,29.6,0.510,0.510,0.987,1.02
33,0.491,28.8,0.520,0.520,0.960,1.04
34,0.507,28.5,0.540,0.540,0.950,1.08
35,0.523,28.3,0.550,0.550,0.943,1.10
36,0.539,28.3,0.570,0.570,0.943,1.14
37,0.555,28.4,0.580,0.580,0.947,1.16
38,0.571,28.5,0.600,0.600,0.950,1.20
39,0.587,28.7,0.610,0.610,0.957,1.22
40,0.603,29.1,0.630,0.630,0.970,1.26
41,0.619,29.6,0.640,0.640,0.987,1.28
42,0.636,30.1,0.650,0.650,1.003,1.30
43,0.652,30.9,0.670,0.670,1.030,1.34
44,0.668,31.7,0.680,0.680,1.057,1.36
45,0.684,32.5,0.700,0.700,1.083,1.40
46,0.699,33.4,0.710,0.710,1.113,1.42
47,0.715,34.4,0.730,0.730,1.147,1.46
48,0.731,35.4,0.740,0.740,1.180,1.48
49,0.747,36.4,0.760,0.760,1.213,1.52
50,0.764,37.4,0.770,0.770,1.247,1.54
51,0.779,38.4,0.790,0.790,1.280,1.58
52,0.795,38.9,0.800,0.800,1.297,1.60
53,0.812,40.2,0.820,0.820,1.340,1.64
54,0.827,41.5,0.830,0.830,1.383,1.66
55,0.844,42.7,0.850,0.850,1.423,1.70
56,0.860,43.9,0.860,0.860,1.463,1.72
57,0.876,45.0,0.870,0.870,1.500,1.74
58,0.891,46.1,0.890,0.890,1.537,1.78
59,0.908,47.2,0.900,0.900,1.573,1.80
60,0.924,48.2,0.920,0.920,1.607,1.84
61,0.940,49.2,0.930,0.930,1.640,1.86
62,0.956,50.2,0.950,0.950,1.673,1.90
63,0.972,51.1,0.960,0.960,1.703,1.92
64,0.987,51.9,0.980,0.980,1.730,1.96
65,1.004,52.5,0.990,0.990,1.750,1.98
66,1.020,53.2,1.010,1.010,1.773,2.02
67,1.036,54.1,1.020,1.020,1.803,2.04
68,1.052,54.9,1.040,1.040,1.830,2.08
69,1.068,55.6,1.050,1.050,1.853,2.10
70,1.083,56.2,1.060,1.060,1.873,2.12
71,1.100,56.8,1.080,1.080,1.893,2.16
72,1.115,57.2,1.090,1.090,1.907,2.18
73,1.131,57.6,1.110,1.110,1.920,2.22
74,1.147,58.0,1.120,1.120,1.933,2.24
75,1.163,58.5,1.140,1.140,1.950,2.28
76,1.180,58.8,1.150,1.150,1.960,2.30
77,1.195,59.2,1.170,1.170,1.973,2.34
78,1.211,59.7,1.180,1.180,1.990,2.36
79,1.227,59.9,1.200,1.200,1.997,2.40
80,1.244,60.4,1.210,1.210,2.013,2.42
81,1.259,61.0,1.220,1.220,2.033,2.44
82,1.276,61.6,1.240,1.240,2.053,2.48
83,1.292,62.1,1.250,1.250,2.070,2.50
84,1.308,62.5,1.270,1.270,2.083,2.54
85,1.324,63.1,1.280,1.280,2.103,2.56
86,1.339,63.5,1.300,1.300,2.117,2.60
87,1.355,63.8,1.310,1.310,2.127,2.62
88,1.372,64.2,1.330,1.330,2.140,2.66
89,1.387,64.6,1.340,1.340,2.153,2.68
90,1.403,65.0,1.360,1.360,2.167,2.72
91,1.420,65.3,1.370,1.370,2.177,2.74
92,1.436,65.6,1.390,1.390,2.187,2.78
93,1.451,65.8,1.400,1.400,2.193,2.80
94,1.467,66.2,1.410,1.410,2.207,2.82
95,1.483,66.7,1.430,1.430,2.223,2.86
96,1.499,67.0,1.440,1.440,2.233,2.88
97,1.516,67.2,1.460,1.460,2.240,2.92
98,1.532,67.6,1.470,1.470,2.253,2.94
99,1.548,67.8,1.490,1.490,2.260,2.98
100,1.564,68.0,1.500,1.500,2.267,3.00
101,1.580,68.3,1.520,1.520,2.277,3.04
102,1.596,68.6,1.530,1.530,2.287,3.06
103,1.612,68.8,1.550,1.550,2.293,3.10
