일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,6.4,0.000,0.060,0.213,0.00
3,0.009,7.0,0.080,0.080,0.233,0.16
4,0.026,8.6,0.090,0.090,0.287,0.18
5,0.042,10.3,0.110,0.110,0.343,0.22
6,0.058,12.0,0.120,0.120,0.400,0.24
7,0.074,13.6,0.140,0.140,0.453,0.28
8,0.090,15.2,0.150,0.150,0.507,0.30
9,0.106,16.7,0.170,0.170,0.557,0.34
10,0.121,18.2,0.180,0.180,0.607,0.36
11,0.138,19.7,0.200,0.200,0.657,0.40
12,0.154,21.1,0.210,0.210,0.703,0.42
13,0.170,22.4,0.230,0.230,0.747,0.46
14,0.185,23.5,0.240,0.240,0.783,0.48
15,0.201,24.5,0.260,0.260,0.817,0.52
16,0.217,24.8,0.270,0.270,0.827,0.54
17,0.233,25.1,0.280,0.280,0.837,0.56
18,0.250,25.3,0.300,0.300,0.843,0.60
19,0.266,25.7,0.310,0.310,0.857,0.62
20,0.282,26.0,0.330,0.330,0.867,0.66
21,0.298,26.3,0.340,0.340,0.877,0.68
22,0.314,26.5,0.360,0.360,0.883,0.72
23,0.330,26.9,0.370,0.370,0.897,0.74
24,0.346,27.5,0.390,0.390,0.917,0.78
25,0.362,28.3,0.400,0.400,0.943,0.80
26,0.377,29.2,0.420,0.420,0.973,0.84
27,0.394,30.3,0.430,0.430,1.010,0.86
28,0.410,31.3,0.450,0.450,1.043,0.90
29,0.426,32.4,0.460,0.460,1.080,0.92
30,0.442,32.8,0.480,0.480,1.093,0.96
31,0.458,33.2,0.490,0.490,1.107,0.98
32,0.474,31.9,0.500,0.500,1.063,1.00
33,0.489,30.1,0.520,0.520,1.003,1.04
34,0.506,28.8,0.530,0.530,0.960,1.06
35,0.522,27.9,0.550,0.550,0.930,1.10
36,0.539,27.3,0.560,0.560,0.910,1.12
37,0.554,27.0,0.580,0.580,0.900,1.16
38,0.570,26.9,0.590,0.590,0.897,1.18
39,0.586,26.7,0.610,0.610,0.890,1.22
40,0.602,26.6,0.620,0.620,0.887,1.24
41,0.617,26.5,0.640,0.640,0.883,1.28
42,0.634,26.4,0.650,0.650,0.880,1.30
43,0.650,26.4,0.670,0.670,0.880,1.34
44,0.666,26.4,0.680,0.680,0.880,1.36
45,0.682,27.2,0.700,0.700,0.907,1.40
46,0.698,28.1,0.710,0.710,0.937,1.42
47,0.713,29.1,0.720,0.720,0.970,1.44
48,0.730,30.1,0.740,0.740,1.003,1.48
49,0.745,31.3,0.750,0.750,1.043,1.50
50,0.762,32.5,0.770,0.770,1.083,1.54
51,0.777,33.7,0.780,0.780,1.123,1.56
52,0.794,34.9,0.800,0.800,1.163,1.60
53,0.810,36.2,0.810,0.810,1.207,1.62
54,0.826,37.4,0.830,0.830,1.247,1.66
55,0.842,38.6,0.840,0.840,1.287,1.68
56,0.858,39.7,0.860,0.860,1.323,1.72
57,0.874,40.5,0.870,0.870,1.350,1.74
58,0.890,41.5,0.890,0.890,1.383,1.78
59,0.906,42.7,0.900,0.900,1.423,1.80
60,0.921,43.7,0.910,0.910,1.457,1.82
61,0.938,44.8,0.930,0.930,1.493,1.86
62,0.953,45.7,0.940,0.940,1.523,1.88
63,0.969,46.7,0.960,0.960,1.557,1.92
64,0.986,47.6,0.970,0.970,1.587,1.94
65,1.002,48.5,0.990,0.990,1.617,1.98
66,1.018,49.3,1.000,1.000,1.643,2.00
67,1.034,50.2,1.020,1.020,1.673,2.04
68,1.051,50.9,1.030,1.030,1.697,2.06
69,1.067,51.7,1.050,1.050,1.723,2.10
70,1.082,52.2,1.060,1.060,1.740,2.12
71,1.098,52.7,1.080,1.080,1.757,2.16
72,1.114,53.6,1.090,1.090,1.787,2.18
73,1.129,54.4,1.100,1.100,1.813,2.20
74,1.146,55.2,1.120,1.120,1.840,2.24
75,1.162,55.9,1.130,1.130,1.863,2.26
76,1.179,56.6,1.150,1.150,1.887,2.30
77,1.194,57.3,1.160,1.160,1.910,2.32
78,1.210,58.0,1.180,1.180,1.933,2.36
79,1.226,58.6,1.190,1.190,1.953,2.38
80,1.242,59.4,1.210,1.210,1.980,2.42
81,1.258,60.0,1.220,1.220,2.000,2.44
82,1.274,60.6,1.240,1.240,2.020,2.48
83,1.291,61.3,1.250,1.250,2.043,2.50
84,1.306,61.6,1.270,1.270,2.053,2.54
85,1.322,62.3,1.280,1.280,2.077,2.56
86,1.338,63.0,1.290,1.290,2.100,2.58
87,1.355,63.6,1.310,1.310,2.120,2.62
88,1.370,64.3,1.320,1.320,2.143,2.64
89,1.387,64.9,1.340,1.340,2.163,2.68
90,1.402,65.4,1.350,1.350,2.180,2.70
91,1.418,65.9,1.370,1.370,2.197,2.74
92,1.434,66.5,1.380,1.380,2.217,2.76
93,1.450,67.0,1.400,1.400,2.233,2.80
94,1.467,67.5,1.410,1.410,2.250,2.82
95,1.482,67.9,1.430,1.430,2.263,2.86
96,1.498,68.3,1.440,1.440,2.277,2.88
97,1.515,68.6,1.450,1.450,2.287,2.90
98,1.530,69.0,1.470,1.470,2.300,2.94
99,1.546,69.5,1.480,1.480,2.317,2.96
100,1.562,69.9,1.500,1.500,2.330,3.00
101,1.578,70.4,1.510,1.510,2.347,3.02
102,1.594,70.8,1.530,1.530,2.360,3.06
103,1.610,71.3,1.540,1.540,2.377,3.08
