일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,7.8,0.000,0.070,0.260,0.00
3,0.011,9.6,0.080,0.080,0.320,0.16
4,0.026,11.3,0.100,0.100,0.377,0.20
5,0.043,13.0,0.110,0.110,0.433,0.22
6,0.059,14.5,0.130,0.130,0.483,0.26
7,0.075,16.1,0.140,0.140,0.537,0.28
8,0.090,17.6,0.160,0.160,0.587,0.32
9,0.107,19.0,0.170,0.170,0.633,0.34
10,0.123,20.2,0.190,0.190,0.673,0.38
11,0.139,21.2,0.200,0.200,0.707,0.40
12,0.155,21.9,0.210,0.210,0.730,0.42
13,0.171,22.2,0.230,0.230,0.740,0.46
14,0.187,22.3,0.240,0.240,0.743,0.48
15,0.203,22.6,0.260,0.260,0.753,0.52
16,0.219,23.1,0.270,0.270,0.770,0.54
17,0.235,23.5,0.290,0.290,0.783,0.58
18,0.250,23.9,0.300,0.300,0.797,0.60
19,0.267,24.4,0.320,0.320,0.813,0.64
20,0.283,25.3,0.330,0.330,0.843,0.66
21,0.298,26.4,0.350,0.350,0.880,0.70
22,0.315,27.6,0.360,0.360,0.920,0.72
23,0.331,28.6,0.380,0.380,0.953,0.76
24,0.347,28.4,0.390,0.390,0.947,0.78
25,0.363,27.3,0.410,0.410,0.910,0.82
26,0.379,26.2,0.420,0.420,0.873,0.84
27,0.395,25.3,0.440,0.440,0.843,0.88
28,0.411,24.4,0.450,0.450,0.813,0.90
29,0.427,23.8,0.460,0.460,0.793,0.92
30,0.443,23.4,0.480,0.480,0.780,0.96
31,0.458,23.2,0.490,0.490,0.773,0.98
32,0.474,23.0,0.510,0.510,0.767,1.02
33,0.491,22.9,0.520,0.520,0.763,1.04
34,0.507,22.8,0.540,0.540,0.760,1.08
35,0.522,23.0,0.550,0.550,0.767,1.10
36,0.539,23.3,0.570,0.570,0.777,1.14
37,0.555,23.5,0.580,0.580,0.783,1.16
38,0.570,23.7,0.600,0.600,0.790,1.20
39,0.587,23.9,0.610,0.610,0.797,1.22
40,0.602,24.9,0.630,0.630,0.830,1.26
41,0.618,26.0,0.640,0.640,0.867,1.28
42,0.634,27.3,0.660,0.660,0.910,1.32
43,0.651,28.7,0.670,0.670,0.957,1.34
44,0.666,30.1,0.680,0.680,1.003,1.36
45,0.683,31.6,0.700,0.700,1.053,1.40
46,0.698,33.0,0.710,0.710,1.100,1.42
47,0.714,34.5,0.730,0.730,1.150,1.46
48,0.731,36.0,0.740,0.740,1.200,1.48
49,0.747,37.4,0.760,0.760,1.247,1.52
50,0.762,38.8,0.770,0.770,1.293,1.54
51,0.779,40.2,0.790,0.790,1.340,1.58
52,0.795,41.1,0.800,0.800,1.370,1.60
53,0.811,42.4,0.820,0.820,1.413,1.64
54,0.827,43.9,0.830,0.830,1.463,1.66
55,0.843,45.3,0.850,0.850,1.510,1.70
56,0.859,46.7,0.860,0.860,1.557,1.72
57,0.875,47.9,0.870,0.870,1.597,1.74
58,0.891,49.1,0.890,0.890,1.637,1.78
59,0.907,50.3,0.900,0.900,1.677,1.80
60,0.924,51.4,0.920,0.920,1.713,1.84
61,0.938,52.3,0.930,0.930,1.743,1.86
62,0.955,53.2,0.950,0.950,1.773,1.90
63,0.971,54.0,0.960,0.960,1.800,1.92
64,0.986,54.8,0.980,0.980,1.827,1.96
65,1.003,55.4,0.990,0.990,1.847,1.98
66,1.019,55.9,1.010,1.010,1.863,2.02
67,1.035,56.7,1.020,1.020,1.890,2.04
68,1.051,57.5,1.040,1.040,1.917,2.08
69,1.067,58.3,1.050,1.050,1.943,2.10
70,1.083,59.0,1.060,1.060,1.967,2.12
71,1.099,59.7,1.080,1.080,1.990,2.16
72,1.115,60.3,1.090,1.090,2.010,2.18
73,1.131,61.0,1.110,1.110,2.033,2.22
74,1.146,61.5,1.120,1.120,2.050,2.24
75,1.163,62.2,1.140,1.140,2.073,2.28
76,1.179,62.7,1.150,1.150,2.090,2.30
77,1.194,63.3,1.170,1.170,2.110,2.34
78,1.211,63.8,1.180,1.180,2.127,2.36
79,1.227,64.2,1.200,1.200,2.140,2.40
80,1.243,64.8,1.210,1.210,2.160,2.42
81,1.259,65.3,1.230,1.230,2.177,2.46
82,1.275,65.9,1.240,1.240,2.197,2.48
83,1.291,66.4,1.250,1.250,2.213,2.50
84,1.307,66.9,1.270,1.270,2.230,2.54
85,1.323,67.4,1.280,1.280,2.247,2.56
86,1.339,67.9,1.300,1.300,2.263,2.60
87,1.355,68.4,1.310,1.310,2.280,2.62
88,1.371,68.9,1.330,1.330,2.297,2.66
89,1.387,69.5,1.340,1.340,2.317,2.68
90,1.403,70.0,1.360,1.360,2.333,2.72
91,1.419,70.5,1.370,1.370,2.350,2.74
92,1.435,71.1,1.390,1.390,2.370,2.78
93,1.451,71.8,1.400,1.400,2.393,2.80
94,1.467,72.5,1.410,1.410,2.417,2.82
95,1.483,73.0,1.430,1.430,2.433,2.86
96,1.499,73.5,1.440,1.440,2.450,2.88
97,1.515,74.0,1.460,1.460,2.467,2.92
98,1.531,74.6,1.470,1.470,2.487,2.94
99,1.547,75.1,1.490,1.490,2.503,2.98
100,1.563,75.6,1.500,1.500,2.520,3.00
101,1.579,76.1,1.520,1.520,2.537,3.04
102,1.595,76.7,1.530,1.530,2.557,3.06
103,1.611,77.2,1.550,1.550,2.573,3.10
