일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,7.0,0.000,0.070,0.233,0.00
3,0.010,8.7,0.080,0.080,0.290,0.16
4,0.027,10.4,0.100,0.100,0.347,0.20
5,0.042,12.2,0.110,0.110,0.407,0.22
6,0.059,13.8,0.130,0.130,0.460,0.26
7,0.075,15.5,0.140,0.140,0.517,0.28
8,0.091,17.1,0.160,0.160,0.570,0.32
9,0.106,18.7,0.170,0.170,0.623,0.34
10,0.123,20.3,0.180,0.180,0.677,0.36
11,0.138,21.7,0.200,0.200,0.723,0.40
12,0.155,22.6,0.210,0.210,0.753,0.42
13,0.170,22.6,0.230,0.230,0.753,0.46
14,0.187,22.7,0.240,0.240,0.757,0.48
15,0.202,23.2,0.260,0.260,0.773,0.52
16,0.218,23.9,0.270,0.270,0.797,0.54
17,0.234,24.7,0.290,0.290,0.823,0.58
18,0.250,25.3,0.300,0.300,0.843,0.60
19,0.267,25.7,0.320,0.320,0.857,0.64
20,0.283,26.4,0.330,0.330,0.880,0.66
21,0.298,27.4,0.350,0.350,0.913,0.70
22,0.314,28.5,0.360,0.360,0.950,0.72
23,0.330,29.7,0.380,0.380,0.990,0.76
24,0.346,29.8,0.390,0.390,0.993,0.78
25,0.363,28.1,0.410,0.410,0.937,0.82
26,0.379,26.7,0.420,0.420,0.890,0.84
27,0.394,25.3,0.430,0.430,0.843,0.86
28,0.410,24.5,0.450,0.450,0.817,0.90
29,0.427,24.1,0.460,0.460,0.803,0.92
30,0.443,23.7,0.480,0.480,0.790,0.96
31,0.458,23.4,0.490,0.490,0.780,0.98
32,0.474,23.3,0.510,0.510,0.777,1.02
33,0.490,23.2,0.520,0.520,0.773,1.04
34,0.506,23.2,0.540,0.540,0.773,1.08
35,0.523,23.3,0.550,0.550,0.777,1.10
36,0.539,23.5,0.570,0.570,0.783,1.14
37,0.554,23.8,0.580,0.580,0.793,1.16
38,0.570,24.4,0.600,0.600,0.813,1.20
39,0.587,25.2,0.610,0.610,0.840,1.22
40,0.603,25.6,0.630,0.630,0.853,1.26
41,0.619,26.9,0.640,0.640,0.897,1.28
42,0.635,28.5,0.650,0.650,0.950,1.30
43,0.651,29.9,0.670,0.670,0.997,1.34
44,0.667,31.5,0.680,0.680,1.050,1.36
45,0.683,33.0,0.700,0.700,1.100,1.40
46,0.698,34.5,0.710,0.710,1.150,1.42
47,0.715,36.1,0.730,0.730,1.203,1.46
48,0.731,37.6,0.740,0.740,1.253,1.48
49,0.747,39.1,0.760,0.760,1.303,1.52
50,0.763,40.6,0.770,0.770,1.353,1.54
51,0.779,42.1,0.790,0.790,1.403,1.58
52,0.794,43.5,0.800,0.800,1.450,1.60
53,0.811,44.2,0.820,0.820,1.473,1.64
54,0.827,45.6,0.830,0.830,1.520,1.66
55,0.843,47.4,0.850,0.850,1.580,1.70
56,0.859,49.0,0.860,0.860,1.633,1.72
57,0.875,50.5,0.870,0.870,1.683,1.74
58,0.891,51.9,0.890,0.890,1.730,1.78
59,0.907,53.4,0.900,0.900,1.780,1.80
60,0.923,54.7,0.920,0.920,1.823,1.84
61,0.939,56.0,0.930,0.930,1.867,1.86
62,0.955,57.2,0.950,0.950,1.907,1.90
63,0.970,58.5,0.960,0.960,1.950,1.92
64,0.987,59.7,0.980,0.980,1.990,1.96
65,1.003,60.9,0.990,0.990,2.030,1.98
66,1.019,62.0,1.010,1.010,2.067,2.02
67,1.034,62.8,1.020,1.020,2.093,2.04
68,1.051,63.9,1.040,1.040,2.130,2.08
69,1.067,65.0,1.050,1.050,2.167,2.10
70,1.083,66.0,1.060,1.060,2.200,2.12
71,1.099,67.0,1.080,1.080,2.233,2.16
72,1.115,67.8,1.090,1.090,2.260,2.18
73,1.131,68.7,1.110,1.110,2.290,2.22
74,1.146,69.5,1.120,1.120,2.317,2.24
75,1.163,70.3,1.140,1.140,2.343,2.28
76,1.179,71.0,1.150,1.150,2.367,2.30
77,1.195,71.7,1.170,1.170,2.390,2.34
78,1.211,72.4,1.180,1.180,2.413,2.36
79,1.227,73.0,1.200,1.200,2.433,2.40
80,1.244,73.4,1.210,1.210,2.447,2.42
81,1.259,73.8,1.220,1.220,2.460,2.44
82,1.275,74.5,1.240,1.240,2.483,2.48
83,1.291,75.1,1.250,1.250,2.503,2.50
84,1.307,75.5,1.270,1.270,2.517,2.54
85,1.322,75.9,1.280,1.280,2.530,2.56
86,1.339,76.1,1.300,1.300,2.537,2.60
87,1.354,76.1,1.310,1.310,2.537,2.62
88,1.371,76.2,1.330,1.330,2.540,2.66
89,1.387,76.0,1.340,1.340,2.533,2.68
90,1.403,75.6,1.360,1.360,2.520,2.72
91,1.419,75.2,1.370,1.370,2.507,2.74
92,1.435,74.7,1.390,1.390,2.490,2.78
93,1.451,72.7,1.400,1.400,2.423,2.80
94,1.467,62.1,1.410,1.410,2.070,2.82
95,1.483,43.3,1.430,1.430,1.443,2.86
96,1.498,30.5,1.440,1.440,1.017,2.88
