일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,8.3,0.000,0.060,0.277,0.00
3,0.010,9.9,0.080,0.080,0.330,0.16
4,0.026,11.5,0.090,0.090,0.383,0.18
5,0.042,13.2,0.110,0.110,0.440,0.22
6,0.058,14.8,0.120,0.120,0.493,0.24
7,0.074,16.5,0.140,0.140,0.550,0.28
8,0.091,18.1,0.150,0.150,0.603,0.30
9,0.106,19.0,0.170,0.170,0.633,0.34
10,0.122,20.9,0.180,0.180,0.697,0.36
11,0.138,22.3,0.200,0.200,0.743,0.40
12,0.154,23.0,0.210,0.210,0.767,0.42
13,0.170,23.1,0.230,0.230,0.770,0.46
14,0.186,23.2,0.240,0.240,0.773,0.48
15,0.202,23.3,0.260,0.260,0.777,0.52
16,0.218,23.7,0.270,0.270,0.790,0.54
17,0.234,24.2,0.290,0.290,0.807,0.58
18,0.251,25.0,0.300,0.300,0.833,0.60
19,0.266,26.0,0.320,0.320,0.867,0.64
20,0.282,27.3,0.330,0.330,0.910,0.66
21,0.298,28.7,0.350,0.350,0.957,0.70
22,0.315,29.8,0.360,0.360,0.993,0.72
23,0.331,31.4,0.370,0.370,1.047,0.74
24,0.346,32.9,0.390,0.390,1.097,0.78
25,0.363,32.8,0.400,0.400,1.093,0.80
26,0.379,29.9,0.420,0.420,0.997,0.84
27,0.395,27.9,0.430,0.430,0.930,0.86
28,0.411,26.7,0.450,0.450,0.890,0.90
29,0.427,25.7,0.460,0.460,0.857,0.92
30,0.443,25.1,0.480,0.480,0.837,0.96
31,0.458,24.9,0.490,0.490,0.830,0.98
32,0.474,24.7,0.510,0.510,0.823,1.02
33,0.490,24.7,0.520,0.520,0.823,1.04
34,0.506,24.7,0.540,0.540,0.823,1.08
35,0.522,24.7,0.550,0.550,0.823,1.10
36,0.538,24.9,0.570,0.570,0.830,1.14
37,0.555,25.8,0.580,0.580,0.860,1.16
38,0.571,26.8,0.590,0.590,0.893,1.18
39,0.587,28.0,0.610,0.610,0.933,1.22
40,0.602,29.3,0.620,0.620,0.977,1.24
41,0.618,30.8,0.640,0.640,1.027,1.28
42,0.634,32.2,0.650,0.650,1.073,1.30
43,0.650,33.7,0.670,0.670,1.123,1.34
44,0.666,35.3,0.680,0.680,1.177,1.36
45,0.682,36.8,0.700,0.700,1.227,1.40
46,0.698,38.3,0.710,0.710,1.277,1.42
47,0.715,39.9,0.730,0.730,1.330,1.46
48,0.731,41.4,0.740,0.740,1.380,1.48
49,0.747,42.1,0.760,0.760,1.403,1.52
50,0.762,43.7,0.770,0.770,1.457,1.54
51,0.778,45.5,0.790,0.790,1.517,1.58
52,0.794,47.1,0.800,0.800,1.570,1.60
53,0.811,48.8,0.810,0.810,1.627,1.62
54,0.827,50.2,0.830,0.830,1.673,1.66
55,0.843,51.7,0.840,0.840,1.723,1.68
56,0.858,53.0,0.860,0.860,1.767,1.72
57,0.874,54.4,0.870,0.870,1.813,1.74
58,0.890,55.7,0.890,0.890,1.857,1.78
59,0.906,56.9,0.900,0.900,1.897,1.80
60,0.923,58.1,0.920,0.920,1.937,1.84
61,0.938,59.3,0.930,0.930,1.977,1.86
62,0.954,60.4,0.950,0.950,2.013,1.90
63,0.970,61.1,0.960,0.960,2.037,1.92
64,0.986,62.3,0.980,0.980,2.077,1.96
65,1.002,63.4,0.990,0.990,2.113,1.98
66,1.018,64.5,1.000,1.000,2.150,2.00
67,1.034,65.5,1.020,1.020,2.183,2.04
68,1.051,66.4,1.030,1.030,2.213,2.06
69,1.067,67.3,1.050,1.050,2.243,2.10
70,1.082,68.1,1.060,1.060,2.270,2.12
71,1.099,68.9,1.080,1.080,2.297,2.16
72,1.114,69.8,1.090,1.090,2.327,2.18
73,1.131,70.5,1.110,1.110,2.350,2.22
74,1.147,71.2,1.120,1.120,2.373,2.24
75,1.163,71.8,1.140,1.140,2.393,2.28
76,1.179,72.0,1.150,1.150,2.400,2.30
77,1.195,72.1,1.170,1.170,2.403,2.34
78,1.211,72.2,1.180,1.180,2.407,2.36
79,1.227,72.2,1.190,1.190,2.407,2.38
80,1.243,71.7,1.210,1.210,2.390,2.42
81,1.259,71.2,1.220,1.220,2.373,2.44
82,1.275,70.6,1.240,1.240,2.353,2.48
83,1.291,70.0,1.250,1.250,2.333,2.50
84,1.307,69.4,1.270,1.270,2.313,2.54
85,1.323,68.7,1.280,1.280,2.290,2.56
86,1.339,68.1,1.300,1.300,2.270,2.60
87,1.355,67.5,1.310,1.310,2.250,2.62
88,1.371,66.9,1.330,1.330,2.230,2.66
89,1.387,66.2,1.340,1.340,2.207,2.68
90,1.403,59.1,1.350,1.350,1.970,2.70
91,1.419,42.2,1.370,1.370,1.407,2.74
92,1.436,30.1,1.380,1.380,1.003,2.76
