일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,7.6,0.000,0.070,0.253,0.00
3,0.011,8.8,0.080,0.080,0.293,0.16
4,0.027,10.0,0.100,0.100,0.333,0.20
5,0.043,12.0,0.110,0.110,0.400,0.22
6,0.059,13.9,0.130,0.130,0.463,0.26
7,0.075,15.7,0.140,0.140,0.523,0.28
8,0.091,17.5,0.160,0.160,0.583,0.32
9,0.107,19.1,0.170,0.170,0.637,0.34
10,0.123,20.4,0.190,0.190,0.680,0.38
11,0.139,21.2,0.200,0.200,0.707,0.40
12,0.154,21.5,0.210,0.210,0.717,0.42
13,0.170,21.6,0.230,0.230,0.720,0.46
14,0.187,21.9,0.240,0.240,0.730,0.48
15,0.203,22.4,0.260,0.260,0.747,0.52
16,0.219,22.9,0.270,0.270,0.763,0.54
17,0.235,23.2,0.290,0.290,0.773,0.58
18,0.251,24.2,0.300,0.300,0.807,0.60
19,0.267,25.4,0.320,0.320,0.847,0.64
20,0.283,26.7,0.330,0.330,0.890,0.66
21,0.299,28.1,0.350,0.350,0.937,0.70
22,0.315,29.5,0.360,0.360,0.983,0.72
23,0.331,30.8,0.380,0.380,1.027,0.76
24,0.348,32.0,0.390,0.390,1.067,0.78
25,0.363,31.0,0.410,0.410,1.033,0.82
26,0.380,28.0,0.420,0.420,0.933,0.84
27,0.396,26.0,0.440,0.440,0.867,0.88
28,0.411,24.9,0.450,0.450,0.830,0.90
29,0.427,23.9,0.460,0.460,0.797,0.92
30,0.443,23.5,0.480,0.480,0.783,0.96
31,0.459,23.3,0.490,0.490,0.777,0.98
32,0.475,23.0,0.510,0.510,0.767,1.02
33,0.491,23.0,0.520,0.520,0.767,1.04
34,0.507,23.2,0.540,0.540,0.773,1.08
35,0.523,23.6,0.550,0.550,0.787,1.10
36,0.539,24.4,0.570,0.570,0.813,1.14
37,0.555,25.4,0.580,0.580,0.847,1.16
38,0.571,26.6,0.600,0.600,0.887,1.20
39,0.587,27.8,0.610,0.610,0.927,1.22
40,0.603,29.3,0.630,0.630,0.977,1.26
41,0.619,30.7,0.640,0.640,1.023,1.28
42,0.635,32.2,0.660,0.660,1.073,1.32
43,0.651,33.7,0.670,0.670,1.123,1.34
44,0.667,35.0,0.680,0.680,1.167,1.36
45,0.683,36.7,0.700,0.700,1.223,1.40
46,0.699,38.3,0.710,0.710,1.277,1.42
47,0.716,39.9,0.730,0.730,1.330,1.46
48,0.732,41.4,0.740,0.740,1.380,1.48
49,0.748,42.8,0.760,0.760,1.427,1.52
50,0.763,44.2,0.770,0.770,1.473,1.54
51,0.780,45.6,0.790,0.790,1.520,1.58
52,0.796,47.0,0.800,0.800,1.567,1.60
53,0.811,48.3,0.820,0.820,1.610,1.64
54,0.828,49.6,0.830,0.830,1.653,1.66
55,0.843,50.9,0.850,0.850,1.697,1.70
56,0.860,52.2,0.860,0.860,1.740,1.72
57,0.876,52.9,0.870,0.870,1.763,1.74
58,0.890,54.4,0.890,0.890,1.813,1.78
59,0.907,55.7,0.900,0.900,1.857,1.80
60,0.924,56.8,0.920,0.920,1.893,1.84
61,0.940,57.9,0.930,0.930,1.930,1.86
62,0.956,58.8,0.950,0.950,1.960,1.90
63,0.971,59.7,0.960,0.960,1.990,1.92
64,0.987,60.6,0.980,0.980,2.020,1.96
65,1.003,61.4,0.990,0.990,2.047,1.98
66,1.019,62.2,1.010,1.010,2.073,2.02
67,1.035,63.0,1.020,1.020,2.100,2.04
68,1.052,63.7,1.040,1.040,2.123,2.08
69,1.068,64.5,1.050,1.050,2.150,2.10
70,1.083,65.2,1.060,1.060,2.173,2.12
71,1.099,65.8,1.080,1.080,2.193,2.16
72,1.116,66.7,1.090,1.090,2.223,2.18
73,1.131,67.5,1.110,1.110,2.250,2.22
74,1.147,68.2,1.120,1.120,2.273,2.24
75,1.163,68.9,1.140,1.140,2.297,2.28
76,1.180,69.6,1.150,1.150,2.320,2.30
77,1.195,70.3,1.170,1.170,2.343,2.34
78,1.211,71.0,1.180,1.180,2.367,2.36
79,1.227,71.5,1.200,1.200,2.383,2.40
80,1.244,72.2,1.210,1.210,2.407,2.42
81,1.260,72.8,1.230,1.230,2.427,2.46
82,1.276,73.3,1.240,1.240,2.443,2.48
83,1.291,73.7,1.250,1.250,2.457,2.50
84,1.308,73.9,1.270,1.270,2.463,2.54
85,1.323,74.0,1.280,1.280,2.467,2.56
86,1.340,74.1,1.300,1.300,2.470,2.60
87,1.355,74.1,1.310,1.310,2.470,2.62
88,1.371,74.0,1.330,1.330,2.467,2.66
89,1.387,73.7,1.340,1.340,2.457,2.68
90,1.404,73.4,1.360,1.360,2.447,2.72
91,1.419,73.0,1.370,1.370,2.433,2.74
92,1.435,72.3,1.390,1.390,2.410,2.78
93,1.451,68.1,1.400,1.400,2.270,2.80
94,1.467,50.4,1.410,1.410,1.680,2.82
95,1.484,35.1,1.430,1.430,1.170,2.86
