일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,6.1,0.000,0.060,0.203,0.00
3,0.009,7.6,0.080,0.080,0.253,0.16
4,0.025,8.9,0.090,0.090,0.297,0.18
5,0.041,10.2,0.110,0.110,0.340,0.22
6,0.056,11.5,0.120,0.120,0.383,0.24
7,0.073,12.7,0.140,0.140,0.423,0.28
8,0.089,13.9,0.150,0.150,0.463,0.30
9,0.105,15.1,0.170,0.170,0.503,0.34
10,0.121,16.2,0.180,0.180,0.540,0.36
11,0.138,17.3,0.200,0.200,0.577,0.40
12,0.154,18.3,0.210,0.210,0.610,0.42
13,0.169,19.3,0.230,0.230,0.643,0.46
14,0.186,20.1,0.240,0.240,0.670,0.48
15,0.201,20.3,0.260,0.260,0.677,0.52
16,0.217,20.7,0.270,0.270,0.690,0.54
17,0.233,21.0,0.290,0.290,0.700,0.58
18,0.250,21.4,0.300,0.300,0.713,0.60
19,0.265,21.8,0.320,0.320,0.727,0.64
20,0.281,21.9,0.330,0.330,0.730,0.66
21,0.297,22.2,0.350,0.350,0.740,0.70
22,0.313,22.5,0.360,0.360,0.750,0.72
23,0.329,23.1,0.370,0.370,0.770,0.74
24,0.345,23.8,0.390,0.390,0.793,0.78
25,0.362,24.6,0.400,0.400,0.820,0.80
26,0.378,25.5,0.420,0.420,0.850,0.84
27,0.394,26.4,0.430,0.430,0.880,0.86
28,0.410,27.0,0.450,0.450,0.900,0.90
29,0.426,27.9,0.460,0.460,0.930,0.92
30,0.442,29.0,0.480,0.480,0.967,0.96
31,0.458,29.7,0.490,0.490,0.990,0.98
32,0.473,28.6,0.510,0.510,0.953,1.02
33,0.489,26.1,0.520,0.520,0.870,1.04
34,0.505,24.7,0.540,0.540,0.823,1.08
35,0.521,23.7,0.550,0.550,0.790,1.10
36,0.537,22.9,0.570,0.570,0.763,1.14
37,0.553,22.6,0.580,0.580,0.753,1.16
38,0.569,22.3,0.590,0.590,0.743,1.18
39,0.585,22.2,0.610,0.610,0.740,1.22
40,0.601,22.3,0.620,0.620,0.743,1.24
41,0.617,22.5,0.640,0.640,0.750,1.28
42,0.633,23.0,0.650,0.650,0.767,1.30
43,0.649,23.6,0.670,0.670,0.787,1.34
44,0.665,24.3,0.680,0.680,0.810,1.36
45,0.681,25.2,0.700,0.700,0.840,1.40
46,0.697,26.0,0.710,0.710,0.867,1.42
47,0.713,27.0,0.730,0.730,0.900,1.46
48,0.729,28.0,0.740,0.740,0.933,1.48
49,0.746,29.0,0.760,0.760,0.967,1.52
50,0.761,30.0,0.770,0.770,1.000,1.54
51,0.777,31.0,0.790,0.790,1.033,1.58
52,0.793,32.0,0.800,0.800,1.067,1.60
53,0.810,33.0,0.810,0.810,1.100,1.62
54,0.826,33.9,0.830,0.830,1.130,1.66
55,0.841,34.8,0.840,0.840,1.160,1.68
56,0.858,35.9,0.860,0.860,1.197,1.72
57,0.873,36.9,0.870,0.870,1.230,1.74
58,0.889,37.8,0.890,0.890,1.260,1.78
59,0.905,38.6,0.900,0.900,1.287,1.80
60,0.921,39.5,0.920,0.920,1.317,1.84
61,0.937,40.3,0.930,0.930,1.343,1.86
62,0.954,41.0,0.950,0.950,1.367,1.90
63,0.969,41.8,0.960,0.960,1.393,1.92
64,0.985,42.4,0.980,0.980,1.413,1.96
65,1.002,43.0,0.990,0.990,1.433,1.98
66,1.018,43.6,1.000,1.000,1.453,2.00
67,1.034,44.2,1.020,1.020,1.473,2.04
68,1.050,44.8,1.030,1.030,1.493,2.06
69,1.066,45.6,1.050,1.050,1.520,2.10
70,1.081,46.2,1.060,1.060,1.540,2.12
71,1.098,46.8,1.080,1.080,1.560,2.16
72,1.113,47.3,1.090,1.090,1.577,2.18
73,1.129,47.8,1.110,1.110,1.593,2.22
74,1.145,48.4,1.120,1.120,1.613,2.24
75,1.162,48.9,1.140,1.140,1.630,2.28
76,1.177,49.4,1.150,1.150,1.647,2.30
77,1.194,49.9,1.170,1.170,1.663,2.34
78,1.209,50.5,1.180,1.180,1.683,2.36
79,1.225,50.9,1.190,1.190,1.697,2.38
80,1.241,51.4,1.210,1.210,1.713,2.42
81,1.257,51.9,1.220,1.220,1.730,2.44
82,1.273,52.2,1.240,1.240,1.740,2.48
83,1.289,52.9,1.250,1.250,1.763,2.50
84,1.306,53.4,1.270,1.270,1.780,2.54
85,1.321,53.9,1.280,1.280,1.797,2.56
86,1.337,54.3,1.300,1.300,1.810,2.60
87,1.354,54.8,1.310,1.310,1.827,2.62
88,1.369,55.2,1.330,1.330,1.840,2.66
89,1.386,55.6,1.340,1.340,1.853,2.68
90,1.401,56.1,1.350,1.350,1.870,2.70
91,1.418,56.5,1.370,1.370,1.883,2.74
92,1.434,56.8,1.380,1.380,1.893,2.76
93,1.449,57.2,1.400,1.400,1.907,2.80
94,1.466,57.6,1.410,1.410,1.920,2.82
95,1.482,57.8,1.430,1.430,1.927,2.86
96,1.498,58.2,1.440,1.440,1.940,2.88
97,1.514,58.5,1.460,1.460,1.950,2.92
98,1.530,58.8,1.470,1.470,1.960,2.94
99,1.546,59.0,1.490,1.490,1.967,2.98
100,1.561,59.1,1.500,1.500,1.970,3.00
101,1.578,59.2,1.510,1.510,1.973,3.02
102,1.594,59.3,1.530,1.530,1.977,3.06
103,1.610,59.3,1.540,1.540,1.977,3.08
