일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,8.0,0.000,0.070,0.267,0.00
3,0.010,9.6,0.080,0.080,0.320,0.16
4,0.027,11.1,0.100,0.100,0.370,0.20
5,0.043,12.7,0.110,0.110,0.423,0.22
6,0.059,14.2,0.130,0.130,0.473,0.26
7,0.075,15.4,0.140,0.140,0.513,0.28
8,0.091,16.8,0.160,0.160,0.560,0.32
9,0.106,18.4,0.170,0.170,0.613,0.34
10,0.123,19.7,0.190,0.190,0.657,0.38
11,0.139,20.8,0.200,0.200,0.693,0.40
12,0.154,21.5,0.220,0.220,0.717,0.44
13,0.171,22.0,0.230,0.230,0.733,0.46
14,0.187,22.5,0.250,0.250,0.750,0.50
15,0.202,23.2,0.260,0.260,0.773,0.52
16,0.219,23.9,0.280,0.280,0.797,0.56
17,0.235,24.4,0.290,0.290,0.813,0.58
18,0.251,24.5,0.300,0.300,0.817,0.60
19,0.267,24.7,0.320,0.320,0.823,0.64
20,0.283,25.5,0.330,0.330,0.850,0.66
21,0.299,26.3,0.350,0.350,0.877,0.70
22,0.315,27.5,0.360,0.360,0.917,0.72
23,0.331,28.6,0.380,0.380,0.953,0.76
24,0.347,29.0,0.390,0.390,0.967,0.78
25,0.363,27.7,0.410,0.410,0.923,0.82
26,0.379,26.3,0.420,0.420,0.877,0.84
27,0.395,25.2,0.440,0.440,0.840,0.88
28,0.411,24.5,0.450,0.450,0.817,0.90
29,0.427,24.2,0.470,0.470,0.807,0.94
30,0.443,24.0,0.480,0.480,0.800,0.96
31,0.459,23.7,0.500,0.500,0.790,1.00
32,0.475,23.5,0.510,0.510,0.783,1.02
33,0.490,23.3,0.520,0.520,0.777,1.04
34,0.507,23.3,0.540,0.540,0.777,1.08
35,0.523,23.1,0.550,0.550,0.770,1.10
36,0.539,23.1,0.570,0.570,0.770,1.14
37,0.555,23.4,0.580,0.580,0.780,1.16
38,0.571,23.9,0.600,0.600,0.797,1.20
39,0.587,24.7,0.610,0.610,0.823,1.22
40,0.603,25.7,0.630,0.630,0.857,1.26
41,0.619,26.8,0.640,0.640,0.893,1.28
42,0.635,28.0,0.660,0.660,0.933,1.32
43,0.651,29.4,0.670,0.670,0.980,1.34
44,0.668,30.8,0.690,0.690,1.027,1.38
45,0.684,32.2,0.700,0.700,1.073,1.40
46,0.699,33.7,0.720,0.720,1.123,1.44
47,0.715,35.2,0.730,0.730,1.173,1.46
48,0.731,35.9,0.740,0.740,1.197,1.48
49,0.747,37.6,0.760,0.760,1.253,1.52
50,0.763,39.3,0.770,0.770,1.310,1.54
51,0.779,40.9,0.790,0.790,1.363,1.58
52,0.795,42.4,0.800,0.800,1.413,1.60
53,0.811,43.9,0.820,0.820,1.463,1.64
54,0.828,45.3,0.830,0.830,1.510,1.66
55,0.843,46.6,0.850,0.850,1.553,1.70
56,0.859,47.9,0.860,0.860,1.597,1.72
57,0.875,49.2,0.880,0.880,1.640,1.76
58,0.891,50.4,0.890,0.890,1.680,1.78
59,0.907,51.6,0.910,0.910,1.720,1.82
60,0.922,52.8,0.920,0.920,1.760,1.84
61,0.939,53.7,0.930,0.930,1.790,1.86
62,0.955,54.8,0.950,0.950,1.827,1.90
63,0.971,56.1,0.960,0.960,1.870,1.92
64,0.986,57.4,0.980,0.980,1.913,1.96
65,1.002,58.6,0.990,0.990,1.953,1.98
66,1.020,59.7,1.010,1.010,1.990,2.02
67,1.036,60.8,1.020,1.020,2.027,2.04
68,1.052,61.8,1.040,1.040,2.060,2.08
69,1.067,62.8,1.050,1.050,2.093,2.10
70,1.083,63.7,1.070,1.070,2.123,2.14
71,1.098,64.5,1.080,1.080,2.150,2.16
72,1.115,65.3,1.100,1.100,2.177,2.20
73,1.132,65.8,1.110,1.110,2.193,2.22
74,1.148,66.4,1.120,1.120,2.213,2.24
75,1.163,66.8,1.140,1.140,2.227,2.28
76,1.179,67.3,1.150,1.150,2.243,2.30
77,1.196,68.0,1.170,1.170,2.267,2.34
78,1.211,68.6,1.180,1.180,2.287,2.36
79,1.228,69.3,1.200,1.200,2.310,2.40
80,1.244,69.9,1.210,1.210,2.330,2.42
81,1.259,70.4,1.230,1.230,2.347,2.46
82,1.276,71.1,1.240,1.240,2.370,2.48
83,1.291,71.6,1.260,1.260,2.387,2.52
84,1.307,72.1,1.270,1.270,2.403,2.54
85,1.324,72.7,1.290,1.290,2.423,2.58
86,1.339,73.2,1.300,1.300,2.440,2.60
87,1.356,73.8,1.310,1.310,2.460,2.62
88,1.371,74.1,1.330,1.330,2.470,2.66
89,1.388,74.7,1.340,1.340,2.490,2.68
90,1.403,75.3,1.360,1.360,2.510,2.72
91,1.419,75.9,1.370,1.370,2.530,2.74
92,1.435,76.4,1.390,1.390,2.547,2.78
93,1.452,76.8,1.400,1.400,2.560,2.80
94,1.467,77.3,1.420,1.420,2.577,2.84
95,1.484,77.7,1.430,1.430,2.590,2.86
96,1.499,78.3,1.450,1.450,2.610,2.90
97,1.515,78.6,1.460,1.460,2.620,2.92
98,1.532,79.0,1.470,1.470,2.633,2.94
99,1.547,79.4,1.490,1.490,2.647,2.98
100,1.564,79.7,1.500,1.500,2.657,3.00
101,1.579,80.0,1.520,1.520,2.667,3.04
102,1.596,80.0,1.530,1.530,2.667,3.06
103,1.611,80.1,1.550,1.550,2.670,3.10
