일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,5.7,0.000,0.060,0.190,0.00
3,0.010,7.1,0.080,0.080,0.237,0.16
4,0.027,8.4,0.090,0.090,0.280,0.18
5,0.043,9.8,0.110,0.110,0.327,0.22
6,0.058,11.1,0.120,0.120,0.370,0.24
7,0.075,12.4,0.140,0.140,0.413,0.28
8,0.090,13.7,0.150,0.150,0.457,0.30
9,0.106,15.0,0.170,0.170,0.500,0.34
10,0.123,16.3,0.180,0.180,0.543,0.36
11,0.138,17.2,0.200,0.200,0.573,0.40
12,0.155,18.5,0.210,0.210,0.617,0.42
13,0.171,19.6,0.230,0.230,0.653,0.46
14,0.186,20.4,0.240,0.240,0.680,0.48
15,0.203,20.5,0.250,0.250,0.683,0.50
16,0.219,20.7,0.270,0.270,0.690,0.54
17,0.235,21.0,0.280,0.280,0.700,0.56
18,0.250,21.5,0.300,0.300,0.717,0.60
19,0.266,21.8,0.310,0.310,0.727,0.62
20,0.282,22.2,0.330,0.330,0.740,0.66
21,0.299,22.8,0.340,0.340,0.760,0.68
22,0.314,23.5,0.360,0.360,0.783,0.72
23,0.331,24.4,0.370,0.370,0.813,0.74
24,0.347,25.1,0.390,0.390,0.837,0.78
25,0.362,26.3,0.400,0.400,0.877,0.80
26,0.378,27.3,0.420,0.420,0.910,0.84
27,0.395,28.3,0.430,0.430,0.943,0.86
28,0.411,29.3,0.450,0.450,0.977,0.90
29,0.426,30.3,0.460,0.460,1.010,0.92
30,0.442,31.2,0.470,0.470,1.040,0.94
31,0.459,31.7,0.490,0.490,1.057,0.98
32,0.474,29.1,0.500,0.500,0.970,1.00
33,0.491,26.3,0.520,0.520,0.877,1.04
34,0.507,24.3,0.530,0.530,0.810,1.06
35,0.523,23.2,0.550,0.550,0.773,1.10
36,0.539,22.3,0.560,0.560,0.743,1.12
37,0.555,21.9,0.580,0.580,0.730,1.16
38,0.571,21.5,0.590,0.590,0.717,1.18
39,0.587,21.4,0.610,0.610,0.713,1.22
40,0.603,21.4,0.620,0.620,0.713,1.24
41,0.618,21.7,0.640,0.640,0.723,1.28
42,0.635,22.1,0.650,0.650,0.737,1.30
43,0.651,22.5,0.670,0.670,0.750,1.34
44,0.667,23.2,0.680,0.680,0.773,1.36
45,0.683,24.0,0.700,0.700,0.800,1.40
46,0.698,24.9,0.710,0.710,0.830,1.42
47,0.715,26.0,0.720,0.720,0.867,1.44
48,0.731,27.1,0.740,0.740,0.903,1.48
49,0.746,28.3,0.750,0.750,0.943,1.50
50,0.763,29.5,0.770,0.770,0.983,1.54
51,0.779,30.2,0.780,0.780,1.007,1.56
52,0.795,31.4,0.800,0.800,1.047,1.60
53,0.811,32.7,0.810,0.810,1.090,1.62
54,0.827,33.8,0.830,0.830,1.127,1.66
55,0.843,34.8,0.840,0.840,1.160,1.68
56,0.859,35.6,0.860,0.860,1.187,1.72
57,0.875,36.3,0.870,0.870,1.210,1.74
58,0.891,37.0,0.890,0.890,1.233,1.78
59,0.906,37.6,0.900,0.900,1.253,1.80
60,0.923,38.2,0.910,0.910,1.273,1.82
61,0.938,38.7,0.930,0.930,1.290,1.86
62,0.955,39.0,0.940,0.940,1.300,1.88
63,0.971,39.5,0.960,0.960,1.317,1.92
64,0.986,39.8,0.970,0.970,1.327,1.94
65,1.003,40.3,0.990,0.990,1.343,1.98
66,1.019,40.7,1.000,1.000,1.357,2.00
67,1.035,41.1,1.020,1.020,1.370,2.04
68,1.051,41.6,1.030,1.030,1.387,2.06
69,1.066,42.0,1.050,1.050,1.400,2.10
70,1.083,42.5,1.060,1.060,1.417,2.12
71,1.099,42.8,1.080,1.080,1.427,2.16
72,1.115,43.3,1.090,1.090,1.443,2.18
73,1.131,43.6,1.100,1.100,1.453,2.20
74,1.147,44.0,1.120,1.120,1.467,2.24
75,1.163,44.5,1.130,1.130,1.483,2.26
76,1.179,44.9,1.150,1.150,1.497,2.30
77,1.195,45.4,1.160,1.160,1.513,2.32
78,1.211,46.1,1.180,1.180,1.537,2.36
79,1.227,46.5,1.190,1.190,1.550,2.38
80,1.243,46.9,1.210,1.210,1.563,2.42
81,1.259,47.2,1.220,1.220,1.573,2.44
82,1.274,47.6,1.240,1.240,1.587,2.48
83,1.291,48.1,1.250,1.250,1.603,2.50
84,1.307,48.5,1.270,1.270,1.617,2.54
85,1.323,48.9,1.280,1.280,1.630,2.56
86,1.339,49.2,1.290,1.290,1.640,2.58
87,1.355,49.7,1.310,1.310,1.657,2.62
88,1.371,50.1,1.320,1.320,1.670,2.64
89,1.387,50.3,1.340,1.340,1.677,2.68
90,1.403,50.7,1.350,1.350,1.690,2.70
91,1.419,50.9,1.370,1.370,1.697,2.74
92,1.435,51.3,1.380,1.380,1.710,2.76
93,1.451,51.9,1.400,1.400,1.730,2.80
94,1.467,52.3,1.410,1.410,1.743,2.82
95,1.483,52.7,1.430,1.430,1.757,2.86
96,1.499,53.0,1.440,1.440,1.767,2.88
97,1.515,53.4,1.450,1.450,1.780,2.90
98,1.531,53.8,1.470,1.470,1.793,2.94
99,1.547,54.0,1.480,1.480,1.800,2.96
100,1.563,54.4,1.500,1.500,1.813,3.00
101,1.579,54.8,1.510,1.510,1.827,3.02
102,1.595,55.1,1.530,1.530,1.837,3.06
103,1.611,55.5,1.540,1.540,1.850,3.08
