일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,8.1,0.000,0.060,0.270,0.00
3,0.010,9.8,0.080,0.080,0.327,0.16
4,0.027,11.4,0.090,0.090,0.380,0.18
5,0.043,13.0,0.110,0.110,0.433,0.22
6,0.059,14.5,0.120,0.120,0.483,0.24
7,0.075,16.0,0.140,0.140,0.533,0.28
8,0.091,17.5,0.150,0.150,0.583,0.30
9,0.106,19.0,0.170,0.170,0.633,0.34
10,0.123,20.3,0.180,0.180,0.677,0.36
11,0.139,21.2,0.200,0.200,0.707,0.40
12,0.154,21.5,0.210,0.210,0.717,0.42
13,0.170,21.8,0.230,0.230,0.727,0.46
14,0.186,21.8,0.240,0.240,0.727,0.48
15,0.202,22.0,0.260,0.260,0.733,0.52
16,0.219,22.4,0.270,0.270,0.747,0.54
17,0.235,22.9,0.290,0.290,0.763,0.58
18,0.251,23.4,0.300,0.300,0.780,0.60
19,0.266,24.3,0.320,0.320,0.810,0.64
20,0.282,25.4,0.330,0.330,0.847,0.66
21,0.298,26.6,0.340,0.340,0.887,0.68
22,0.314,27.9,0.360,0.360,0.930,0.72
23,0.331,29.1,0.370,0.370,0.970,0.74
24,0.346,29.5,0.390,0.390,0.983,0.78
25,0.363,28.2,0.400,0.400,0.940,0.80
26,0.379,26.9,0.420,0.420,0.897,0.84
27,0.395,25.6,0.430,0.430,0.853,0.86
28,0.410,24.5,0.450,0.450,0.817,0.90
29,0.426,23.9,0.460,0.460,0.797,0.92
30,0.443,23.4,0.480,0.480,0.780,0.96
31,0.459,23.1,0.490,0.490,0.770,0.98
32,0.475,22.9,0.510,0.510,0.763,1.02
33,0.491,22.8,0.520,0.520,0.760,1.04
34,0.507,22.8,0.540,0.540,0.760,1.08
35,0.523,22.9,0.550,0.550,0.763,1.10
36,0.539,23.2,0.560,0.560,0.773,1.12
37,0.554,23.9,0.580,0.580,0.797,1.16
38,0.570,24.7,0.590,0.590,0.823,1.18
39,0.586,25.2,0.610,0.610,0.840,1.22
40,0.603,26.7,0.620,0.620,0.890,1.24
41,0.619,28.2,0.640,0.640,0.940,1.28
42,0.635,29.7,0.650,0.650,0.990,1.30
43,0.651,31.1,0.670,0.670,1.037,1.34
44,0.667,32.7,0.680,0.680,1.090,1.36
45,0.683,34.2,0.700,0.700,1.140,1.40
46,0.699,35.7,0.710,0.710,1.190,1.42
47,0.714,37.1,0.730,0.730,1.237,1.46
48,0.731,38.6,0.740,0.740,1.287,1.48
49,0.747,40.1,0.760,0.760,1.337,1.52
50,0.763,41.5,0.770,0.770,1.383,1.54
51,0.779,42.9,0.780,0.780,1.430,1.56
52,0.795,44.3,0.810,0.810,1.477,1.62
53,0.811,45.1,0.810,0.810,1.503,1.62
54,0.827,46.8,0.830,0.830,1.560,1.66
55,0.843,48.3,0.840,0.840,1.610,1.68
56,0.859,49.7,0.860,0.860,1.657,1.72
57,0.875,51.1,0.870,0.870,1.703,1.74
58,0.891,52.4,0.890,0.890,1.747,1.78
59,0.907,54.4,0.910,0.910,1.813,1.82
60,0.923,55.0,0.920,0.920,1.833,1.84
61,0.939,56.2,0.930,0.930,1.873,1.86
62,0.955,58.0,0.950,0.950,1.933,1.90
63,0.971,59.2,0.970,0.970,1.973,1.94
64,0.987,60.2,0.980,0.980,2.007,1.96
65,1.003,61.2,1.000,1.000,2.040,2.00
66,1.019,61.9,1.010,1.010,2.063,2.02
67,1.034,63.0,1.030,1.030,2.100,2.06
68,1.051,63.9,1.040,1.040,2.130,2.08
69,1.067,64.8,1.050,1.050,2.160,2.10
70,1.083,65.6,1.070,1.070,2.187,2.14
71,1.098,66.3,1.080,1.080,2.210,2.16
72,1.114,66.7,1.090,1.090,2.223,2.18
73,1.131,67.6,1.110,1.110,2.253,2.22
74,1.147,68.1,1.130,1.130,2.270,2.26
75,1.163,68.7,1.140,1.140,2.290,2.28
76,1.179,69.3,1.160,1.160,2.310,2.32
77,1.194,69.8,1.170,1.170,2.327,2.34
78,1.210,70.3,1.190,1.190,2.343,2.38
79,1.226,70.7,1.200,1.200,2.357,2.40
80,1.243,71.1,1.220,1.220,2.370,2.44
81,1.258,71.5,1.230,1.230,2.383,2.46
82,1.275,71.8,1.240,1.240,2.393,2.48
83,1.291,72.1,1.260,1.260,2.403,2.52
84,1.307,72.1,1.270,1.270,2.403,2.54
85,1.323,72.1,1.290,1.290,2.403,2.58
86,1.339,72.0,1.300,1.300,2.400,2.60
87,1.355,71.7,1.320,1.320,2.390,2.64
88,1.371,71.3,1.330,1.330,2.377,2.66
89,1.387,70.8,1.350,1.350,2.360,2.70
90,1.403,67.0,1.360,1.360,2.233,2.72
91,1.419,49.8,1.380,1.380,1.660,2.76
92,1.435,37.9,1.390,1.390,1.263,2.78
93,1.450,29.0,1.400,1.400,0.967,2.80
