일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,17.5,0.000,0.070,0.583,0.00
3,0.010,20.6,0.080,0.080,0.687,0.16
4,0.026,23.3,0.100,0.100,0.777,0.20
5,0.043,25.2,0.110,0.110,0.840,0.22
6,0.059,25.8,0.130,0.130,0.860,0.26
7,0.075,26.0,0.140,0.140,0.867,0.28
8,0.091,26.1,0.160,0.160,0.870,0.32
9,0.107,26.6,0.170,0.170,0.887,0.34
10,0.123,27.0,0.190,0.190,0.900,0.38
11,0.139,27.9,0.200,0.200,0.930,0.40
12,0.155,29.1,0.220,0.220,0.970,0.44
13,0.171,30.7,0.230,0.230,1.023,0.46
14,0.187,32.7,0.250,0.250,1.090,0.50
15,0.203,34.0,0.260,0.260,1.133,0.52
16,0.219,32.6,0.280,0.280,1.087,0.56
17,0.235,30.7,0.290,0.290,1.023,0.58
18,0.250,29.7,0.300,0.300,0.990,0.60
19,0.266,29.3,0.320,0.320,0.977,0.64
20,0.283,28.7,0.330,0.330,0.957,0.66
21,0.299,28.2,0.350,0.350,0.940,0.70
22,0.315,27.8,0.360,0.360,0.927,0.72
23,0.331,27.6,0.380,0.380,0.920,0.76
24,0.347,27.5,0.390,0.390,0.917,0.78
25,0.363,27.2,0.410,0.410,0.907,0.82
26,0.379,27.2,0.420,0.420,0.907,0.84
27,0.395,27.1,0.440,0.440,0.903,0.88
28,0.411,27.0,0.450,0.450,0.900,0.90
29,0.427,27.0,0.470,0.470,0.900,0.94
30,0.443,27.0,0.480,0.480,0.900,0.96
31,0.459,27.2,0.500,0.500,0.907,1.00
32,0.476,27.4,0.510,0.510,0.913,1.02
33,0.491,28.1,0.530,0.530,0.937,1.06
34,0.507,29.0,0.540,0.540,0.967,1.08
35,0.523,30.3,0.550,0.550,1.010,1.10
36,0.539,32.1,0.570,0.570,1.070,1.14
37,0.554,34.3,0.580,0.580,1.143,1.16
38,0.571,36.1,0.600,0.600,1.203,1.20
39,0.587,39.2,0.610,0.610,1.307,1.22
40,0.603,42.3,0.630,0.630,1.410,1.26
41,0.619,45.3,0.640,0.640,1.510,1.28
42,0.635,48.4,0.660,0.660,1.613,1.32
43,0.651,51.5,0.670,0.670,1.717,1.34
44,0.667,54.5,0.690,0.690,1.817,1.38
45,0.683,57.4,0.700,0.700,1.913,1.40
46,0.699,60.5,0.720,0.720,2.017,1.44
47,0.715,63.4,0.730,0.730,2.113,1.46
48,0.731,66.3,0.740,0.740,2.210,1.48
49,0.748,69.3,0.760,0.760,2.310,1.52
50,0.763,72.2,0.770,0.770,2.407,1.54
51,0.779,73.6,0.790,0.790,2.453,1.58
52,0.795,76.7,0.800,0.800,2.557,1.60
53,0.811,80.3,0.820,0.820,2.677,1.64
54,0.827,83.7,0.830,0.830,2.790,1.66
55,0.844,86.8,0.850,0.850,2.893,1.70
56,0.860,89.9,0.860,0.860,2.997,1.72
57,0.875,92.9,0.880,0.880,3.097,1.76
58,0.891,95.9,0.890,0.890,3.197,1.78
59,0.907,98.7,0.910,0.910,3.290,1.82
60,0.924,101.6,0.920,0.920,3.387,1.84
61,0.940,104.5,0.930,0.930,3.483,1.86
62,0.956,107.3,0.950,0.950,3.577,1.90
63,0.971,110.1,0.960,0.960,3.670,1.92
64,0.987,113.0,0.980,0.980,3.767,1.96
65,1.003,115.0,0.990,0.990,3.833,1.98
66,1.018,118.1,1.010,1.010,3.937,2.02
67,1.034,121.2,1.020,1.020,4.040,2.04
68,1.051,124.3,1.040,1.040,4.143,2.08
69,1.066,127.2,1.050,1.050,4.240,2.10
70,1.083,130.1,1.070,1.070,4.337,2.14
71,1.099,132.9,1.080,1.080,4.430,2.16
72,1.115,135.6,1.100,1.100,4.520,2.20
73,1.131,138.3,1.110,1.110,4.610,2.22
74,1.147,140.9,1.120,1.120,4.697,2.24
75,1.163,143.6,1.140,1.140,4.787,2.28
76,1.178,146.1,1.150,1.150,4.870,2.30
77,1.194,148.7,1.170,1.170,4.957,2.34
78,1.211,150.6,1.180,1.180,5.020,2.36
79,1.227,153.1,1.200,1.200,5.103,2.40
80,1.243,156.0,1.210,1.210,5.200,2.42
81,1.259,158.7,1.230,1.230,5.290,2.46
82,1.275,161.4,1.240,1.240,5.380,2.48
83,1.290,164.0,1.260,1.260,5.467,2.52
84,1.307,166.5,1.270,1.270,5.550,2.54
85,1.323,169.0,1.290,1.290,5.633,2.58
86,1.339,171.5,1.300,1.300,5.717,2.60
87,1.356,173.9,1.310,1.310,5.797,2.62
88,1.372,176.4,1.330,1.330,5.880,2.66
89,1.387,178.8,1.340,1.340,5.960,2.68
90,1.404,181.2,1.360,1.360,6.040,2.72
91,1.419,183.6,1.370,1.370,6.120,2.74
92,1.434,185.3,1.390,1.390,6.177,2.78
93,1.451,187.8,1.400,1.400,6.260,2.80
94,1.467,190.5,1.420,1.420,6.350,2.84
95,1.484,193.0,1.430,1.430,6.433,2.86
96,1.500,195.5,1.450,1.450,6.517,2.90
97,1.516,197.9,1.460,1.460,6.597,2.92
98,1.532,200.3,1.470,1.470,6.677,2.94
99,1.547,202.7,1.490,1.490,6.757,2.98
100,1.564,205.0,1.500,1.500,6.833,3.00
101,1.580,207.2,1.520,1.520,6.907,3.04
102,1.595,209.5,1.530,1.530,6.983,3.06
103,1.611,211.7,1.550,1.550,7.057,3.10
