일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,12.6,0.000,0.070,0.420,0.00
3,0.009,15.4,0.080,0.080,0.513,0.16
4,0.026,17.7,0.100,0.100,0.590,0.20
5,0.042,20.8,0.110,0.110,0.693,0.22
6,0.058,23.3,0.130,0.130,0.777,0.26
7,0.074,25.2,0.140,0.140,0.840,0.28
8,0.090,26.1,0.160,0.160,0.870,0.32
9,0.106,26.5,0.170,0.170,0.883,0.34
10,0.122,26.6,0.190,0.190,0.887,0.38
11,0.138,27.0,0.200,0.200,0.900,0.40
12,0.154,27.6,0.220,0.220,0.920,0.44
13,0.170,28.4,0.230,0.230,0.947,0.46
14,0.185,29.8,0.250,0.250,0.993,0.50
15,0.202,31.6,0.260,0.260,1.053,0.52
16,0.218,33.8,0.270,0.270,1.127,0.54
17,0.234,35.4,0.290,0.290,1.180,0.58
18,0.250,37.2,0.300,0.300,1.240,0.60
19,0.265,35.1,0.320,0.320,1.170,0.64
20,0.281,32.6,0.330,0.330,1.087,0.66
21,0.298,31.0,0.350,0.350,1.033,0.70
22,0.314,30.0,0.360,0.360,1.000,0.72
23,0.330,29.5,0.380,0.380,0.983,0.76
24,0.346,29.1,0.390,0.390,0.970,0.78
25,0.362,28.5,0.410,0.410,0.950,0.82
26,0.378,28.2,0.420,0.420,0.940,0.84
27,0.393,27.9,0.440,0.440,0.930,0.88
28,0.409,27.7,0.450,0.450,0.923,0.90
29,0.425,27.7,0.470,0.470,0.923,0.94
30,0.441,27.5,0.480,0.480,0.917,0.96
31,0.457,27.3,0.490,0.490,0.910,0.98
32,0.473,27.3,0.510,0.510,0.910,1.02
33,0.490,27.3,0.520,0.520,0.910,1.04
34,0.506,27.4,0.540,0.540,0.913,1.08
35,0.522,27.6,0.550,0.550,0.920,1.10
36,0.538,28.1,0.570,0.570,0.937,1.14
37,0.554,28.6,0.580,0.580,0.953,1.16
38,0.569,29.1,0.600,0.600,0.970,1.20
39,0.586,29.9,0.610,0.610,0.997,1.22
40,0.602,31.4,0.630,0.630,1.047,1.26
41,0.618,33.2,0.640,0.640,1.107,1.28
42,0.634,35.3,0.660,0.660,1.177,1.32
43,0.650,37.6,0.670,0.670,1.253,1.34
44,0.666,39.0,0.690,0.690,1.300,1.38
45,0.682,42.0,0.700,0.700,1.400,1.40
46,0.698,45.1,0.710,0.710,1.503,1.42
47,0.715,48.1,0.730,0.730,1.603,1.46
48,0.729,51.1,0.740,0.740,1.703,1.48
49,0.747,54.0,0.760,0.760,1.800,1.52
50,0.762,56.9,0.770,0.770,1.897,1.54
51,0.778,59.7,0.790,0.790,1.990,1.58
52,0.794,62.5,0.800,0.800,2.083,1.60
53,0.810,65.2,0.820,0.820,2.173,1.64
54,0.826,68.0,0.830,0.830,2.267,1.66
55,0.842,70.7,0.850,0.850,2.357,1.70
56,0.860,73.4,0.860,0.860,2.447,1.72
57,0.874,75.5,0.880,0.880,2.517,1.76
58,0.891,78.6,0.890,0.890,2.620,1.78
59,0.907,81.5,0.900,0.900,2.717,1.80
60,0.922,84.4,0.920,0.920,2.813,1.84
61,0.938,87.1,0.930,0.930,2.903,1.86
62,0.954,89.7,0.950,0.950,2.990,1.90
63,0.970,92.4,0.960,0.960,3.080,1.92
64,0.986,94.9,0.980,0.980,3.163,1.96
65,1.002,97.4,0.990,0.990,3.247,1.98
66,1.018,99.9,1.010,1.010,3.330,2.02
67,1.034,102.4,1.020,1.020,3.413,2.04
68,1.050,104.8,1.040,1.040,3.493,2.08
69,1.066,107.2,1.050,1.050,3.573,2.10
70,1.082,108.9,1.070,1.070,3.630,2.14
71,1.098,111.4,1.080,1.080,3.713,2.16
72,1.115,114.0,1.090,1.090,3.800,2.18
73,1.131,116.4,1.110,1.110,3.880,2.22
74,1.147,118.8,1.120,1.120,3.960,2.24
75,1.162,121.0,1.140,1.140,4.033,2.28
76,1.179,123.3,1.150,1.150,4.110,2.30
77,1.195,125.5,1.170,1.170,4.183,2.34
78,1.210,127.6,1.180,1.180,4.253,2.36
79,1.226,129.6,1.200,1.200,4.320,2.40
80,1.242,131.7,1.210,1.210,4.390,2.42
81,1.258,133.8,1.230,1.230,4.460,2.46
82,1.274,135.8,1.240,1.240,4.527,2.48
83,1.291,137.7,1.260,1.260,4.590,2.52
84,1.306,139.0,1.270,1.270,4.633,2.54
85,1.322,141.0,1.280,1.280,4.700,2.56
86,1.338,142.8,1.300,1.300,4.760,2.60
87,1.355,144.6,1.310,1.310,4.820,2.62
88,1.370,146.3,1.330,1.330,4.877,2.66
89,1.386,148.0,1.340,1.340,4.933,2.68
90,1.401,149.7,1.360,1.360,4.990,2.72
91,1.418,151.3,1.370,1.370,5.043,2.74
92,1.435,153.0,1.390,1.390,5.100,2.78
93,1.450,154.6,1.400,1.400,5.153,2.80
94,1.466,156.2,1.420,1.420,5.207,2.84
95,1.483,157.7,1.430,1.430,5.257,2.86
96,1.499,159.2,1.440,1.440,5.307,2.88
97,1.514,159.9,1.460,1.460,5.330,2.92
98,1.530,161.5,1.470,1.470,5.383,2.94
99,1.546,163.2,1.490,1.490,5.440,2.98
100,1.563,164.9,1.500,1.500,5.497,3.00
101,1.579,166.3,1.520,1.520,5.543,3.04
102,1.595,167.7,1.530,1.530,5.590,3.06
103,1.610,169.1,1.550,1.550,5.637,3.10
